category,screen_id,item,value,source_class,note
A_Layout,"ALL(A1-A4,EXTRA)",mobile mockup viewport width,480px,CSS_LITERAL,"고정 카드 프레임 폭. 실제 디바이스 CSS px 아님 — PRESENTATION_ARTIFACT(디자인 캔버스 스케일). 승인 PNG는 853/941/1448 등 실제 디바이스 해상도라 1:1 대응 아님(SOURCE_CONFLICT, TIER1 참조)"
A_Layout,A5,desktop admin canvas,1440x1030px,CSS_LITERAL,유일한 데스크톱 목업. border-radius:20px
A_Layout,A1/A1-S1/A2/A3/A4/EXTRA,phone frame border-radius,44px,CSS_LITERAL,10개 화면 공통
A_Layout,A5,AdminSidebar width,300px,CSS_LITERAL,flex:none 고정폭
A_Layout,A5,MainContent border-radius,20px 0 0 20px,CSS_LITERAL,사이드바와 접합부만 각짐
A_Layout,A2/A3/A4/EXTRA,BottomDock grid columns,"repeat(4,1fr)",CSS_LITERAL,고정 4열
A_Layout,A2,ServiceGrid columns,"repeat(4,1fr)",CSS_LITERAL,2x2로 보이나 실제로는 1행 4열 grid
A_Layout,A3,WeekDateStrip columns,"repeat(7,1fr)",CSS_LITERAL,요일 7열
A_Layout,A3,ProfileSummaryCard mini-stats columns,"repeat(3,1fr)",CSS_LITERAL,
A_Layout,A5,StatCardRow columns,"repeat(3,1fr)",CSS_LITERAL,gap:16px
A_Layout,A5,DeductionDataTable row grid-template-columns,1.1fr 2fr 1fr 1fr 1fr .9fr,CSS_LITERAL,6열: 사용자/사유/금액/일시/등록자/관리
A_Layout,ALL,HomeIndicatorBar size,"132px x 5px, radius 3px",CSS_LITERAL,iOS home indicator 모방(PRESENTATION_ARTIFACT)
A_Layout,COMPUTED,rendered A1 bounding box (Playwright),480 x 920 px @1x,COMPUTED_STYLE,/tmp/mongle-wave6-0ab/evidence/approved-html-render/zone_bounding_boxes.json 참조
A_Layout,COMPUTED,rendered A5 bounding box (Playwright),1440 x 1030 px @1x,COMPUTED_STYLE,동일 파일 참조
A_Layout,PNG,screen_login_approved.png intrinsic size,853 x 1844 px,PNG_MEASURED,"PIL 실측, aspect 0.4626"
A_Layout,PNG,screen_family_home_approved.png / chat / point_festival intrinsic size,941 x 1672 px (공통),PNG_MEASURED,"PIL 실측, aspect 0.5628"
A_Layout,PNG,screen_admin_point_approved.png intrinsic size,1448 x 1086 px,PNG_MEASURED,"PIL 실측, aspect 1.333 — 1440x1030 목업(aspect 1.398)과 근접하나 완전 동일 아님"
A_Layout,DELTA,A1 aspect ratio: rendered vs PNG,0.522 vs 0.463 → 12.79% delta,COMPUTED_STYLE+PNG_MEASURED,SOURCE_CONFLICT: 목업 프레임(480x920 근사)과 실제 승인 PNG(853x1844)의 세로 비율이 다름 — PNG가 더 세로로 길다
B_Spacing,A1,ProfileSelectorCard padding,16px 18px 12px,CSS_LITERAL,
B_Spacing,A1,ProfileSelectorCard inner gap,10px,CSS_LITERAL,카드 간)
B_Spacing,A1,PlayerCard padding,12px,CSS_LITERAL,
B_Spacing,A1-S1,LoginFormPanel padding,22px 20px 16px,CSS_LITERAL,gap:14px
B_Spacing,A1-S1,TextField padding,"14px 16px (아이디), 13px 16px (비밀번호,포커스링 4px)",CSS_LITERAL,
B_Spacing,A2,ContentColumn padding,10px 18px 12px,CSS_LITERAL,
B_Spacing,A2,ChatPromoHeroCard padding,15px 20px,CSS_LITERAL,
B_Spacing,A2,RecentActivityCard padding,12px,CSS_LITERAL,"gap:8px, row padding-bottom:8px"
B_Spacing,A3,ContentColumn padding,4px 16px 11px,CSS_LITERAL,gap:9px
B_Spacing,A3,MissionRow padding,8px,CSS_LITERAL,"gap:5px(행 내부), gap:8px(아이콘-텍스트)"
B_Spacing,A4,MessageTimeline padding,4px 16px 0,CSS_LITERAL,gap:8px(메시지 간)
B_Spacing,A4,MessageBubble padding,8px 14px,CSS_LITERAL,
B_Spacing,A4,Composer padding,5px 10px 5px 8px,CSS_LITERAL,
B_Spacing,A5,MainHeaderRow(main) padding,34px 40px,CSS_LITERAL,
B_Spacing,A5,DeductionDataTable header row padding,18px 24px,CSS_LITERAL,
B_Spacing,A5,DeductionDataTable data row padding,16px 24px,CSS_LITERAL,
B_Spacing,A5,StatCard padding,20px,CSS_LITERAL,gap:18px(내부)
B_Spacing,GLOBAL(repeat count top-15),padding raw-value frequency,see approved_token_candidates.csv (SPACING category),CSS_LITERAL,"가장 빈번: 13px 14px(17회), 10px 30px 0(9회, 상태바), 8px 14px(8회), 0 2px(8회), 8px 18px(8회)"
B_Spacing,GLOBAL,gap raw-value frequency top,3px(97회) 7px(33회) 2px(32회) 4px(30회) 10px(30회) 12px(26회) 6px(24회),CSS_LITERAL,3px가 압도적 최빈값 — 대부분 아이콘+라벨 등 초근접 배치(BottomDock 아이콘-라벨 gap)
C_Typography,GLOBAL,font-family,"'Noto Sans KR', system-ui, sans-serif (Google Fonts CDN)",CSS_LITERAL,외부 의존성: fonts.googleapis.com/fonts.gstatic.com. 현재 구현 global.css는 'Pretendard'+'Black Han Sans'+'Inter' 사용 — TOKEN_CONFLICT(폰트 패밀리 자체가 다름)
C_Typography,GLOBAL,font-size distribution(occurrences),11px(73) 13px(69) 12px(60) 10px(58) 14px(54) 15px(33) 16px(24) 9px(20) 12.5px(19) 13.5px(17) 20px(16) 19px(12) 17px(11),CSS_LITERAL,"매우 세분화된 scale(9~37px, 26종 distinct) — 승인자료는 정수 px 단위 명명된 typography scale이 아니라 element별 자유값. 현재 구현 주석(global.css:51-57)은 임의 명명 typography scale(Display/Page/Section/Card/Body 등)을 이미 도입했으나 원본 HTML과 1:1 대응 확인 NOT_VERIFIED"
C_Typography,A1,브랜드 타이틀 '가족 플랫폼',37px / 900 / -.01em letter-spacing / #17103A,CSS_LITERAL,
C_Typography,A1-S1,브랜드 타이틀(compact),31px / 900,CSS_LITERAL,A1 대비 축소
C_Typography,A5,페이지 타이틀 '포인트 관리',36px / 900 / #17103A,CSS_LITERAL,유일하게 30px 초과 사용처
C_Typography,GLOBAL,본문 컬러 최빈값,"#17103A(188회, 최고 강조 텍스트) #5A35DF(117회, 브랜드/링크) #8A83A8(82회, muted) #4A3F72(70회, 보조본문)",CSS_LITERAL,
C_Typography,A3/A5,금액 강조 컬러(음수/차감),#EF4665,CSS_LITERAL,"19회 등장, danger 계열"
C_Typography,A4,발신(own) 말풍선 텍스트 컬러,#fff on #6944EF 배경,CSS_LITERAL,
