CANONICAL_ID,OWNER_AGGREGATE,PRODUCT_ENTRY,PRODUCT_CONTAINER,USER_VISIBLE_PURPOSE,INITIAL_LOAD_REQUIREMENT,USER_EVENTS,EXPECTED_SUCCESS_OUTCOME,EMPTY_STATE,ERROR_STATE,PERMISSION_STATE,VALIDATION_STATE,RETRY_BEHAVIOR,CURRENT_DATA_SOURCE,CURRENT_MUTATION_SOURCE,CURRENT_FIXTURE_OR_FALLBACK,EXISTING_FRONTEND_API_CLIENT,EXISTING_BACKEND_ROUTE,EXISTING_BACKEND_SERVICE,EXISTING_SCHEMA,EXISTING_MODEL_TABLE,API_READINESS,ORIGINAL_API_READINESS,POLICY_STATUS,IMPLEMENTATION_STRATEGY,BACKEND_SLICE_ID,AUTHENTICATION_REQUIREMENT,AUTHORIZATION_SCOPE,OWNERSHIP_SCOPE,TEST_COVERAGE_BEFORE,TEST_EVIDENCE_AFTER,FINAL_W7_5_STATUS,NOTES,CAPABILITY_ID,CAPABILITY_STATUS,POLICY_DEPENDENCY
1a,AUTH_FLOW,/,frontend/src/pages/Auth/index.tsx,로그인,,,,,,,,,real (authApi.ts -> GET /api/players),N/A,none,pages/Auth/api/authApi.ts,GET /api/players,domains/player/service.py,PlayerListItem,players,EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,none,public list,N/A,,,ALREADY_WIRED,,1a,ALREADY_WIRED,NONE
1a-1,AUTH_FLOW,/login,frontend/src/pages/A1AccountLogin/index.tsx,로그인 폼,,,,,,,,,"none - presentation-only reconstruction, deliberately parked in W7.3/W7.4",none,"ui-only, no real submit",none (intentionally parked),POST /api/auth/login,domains/auth/service.py,LoginRequest/LoginResponse,player_auth,EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,WIRE_EXISTING_API,WIRE-LEGACY-LOGIN,none,public,N/A,"NONE (onSubmit was event.preventDefault() only, no real call)","Real HTTP 200 POST /api/auth/account/login on success (token in sessionStorage, navigates to /family) and real 401 on failure (error rendered via role=""status"", stays on /login) -- both verified via the permanent tests/e2e/specs-mongle/04-w75-data-wiring.spec.ts against an isolated disposable stack. Found and fixed a real defect in the process: shared/api/httpClient.ts's global 401 interceptor was missing /api/auth/account/login from its no-redirect allowlist, so a wrong password was misread as an expired session and force-redirected away from the error state.",WIRED_AND_VERIFIED, PHASE B COMPLETE.,1a-1,WIRED_AND_VERIFIED,NONE
1b,FAMILY_CONTEXT,/family,frontend/src/platform/pages/FamilyLanding.tsx,홈,,,,,,,,,real (useFamilyContextStore),N/A (read screen),none,shared/api/familyApi.ts,GET /api/account-context,domains/family/service.py,AccountContextResponse,"accounts,family_groups,family_memberships",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Hybrid (legacy or Account),own account,self,,,ALREADY_WIRED,,1b,ALREADY_WIRED,NONE
1c,USER_DASHBOARD,/markpoint,frontend/src/platform/markpoint/MarkpointUser.tsx (MarkpointUserPage),포인트 잔치,,,,,,,,,real,real (submitMission),none,shared/api/markpointApi.ts,"GET /api/me/markpoint/projection,weekly,level; GET .../deductions/history",domains/markpoint_target/service.py,"BalanceOut,LevelOut,MissionOut,LedgerOut","markpoint_missions,markpoint_ledger",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Account-native,active family membership,family_id scoped,,,ALREADY_WIRED,,1c,ALREADY_WIRED,NONE
1d,WAGLE,/wagle,frontend/src/platform/wagle/WagleRoomView.tsx,대화,,,,,,,,,real,real (sendMessage),none,shared/api/wagleApi.ts,"GET .../room-summaries, .../messages; POST .../messages",domains/wagle/service.py,"RoomSummaryResponse,MessageResponse","wagle_rooms,wagle_messages",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Hybrid,room participant,family_id + room_id scoped,,,ALREADY_WIRED,,1d,ALREADY_WIRED,NONE
1e,ADMIN_DASHBOARD,/admin (nested),frontend/src/pages/AdminDashboard/views/PointView/,관리자 포인트 관리,,,,,,,,,real (usePointView),real (via useAdminData/usePointView/useMissionView/etc.),none,pages/AdminDashboard/api/adminApi.ts,"various /api/admin/* (see backend inventory, admin aggregator)",domains/admin/router.py (thin wrapper over mission/deduction/daily_point/player/notification services),"various (MissionResponse, DeductionResponse, PlayerListItem, NotificationResponse, etc.)","players,missions,deductions,daily_points,notifications (legacy)",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Legacy admin (require_admin),admin-only,N/A (legacy platform-wide admin),,,ALREADY_WIRED,,1e,ALREADY_WIRED,NONE
1f,FAMILY_CONTEXT,/profile,frontend/src/pages/profile/ProfilePage.tsx,나 프로필,,,,,,,,,fixture (myProfile.fixture.ts),none,myProfile.fixture.ts,none yet,GET /api/me,domains/family/router.py,MeResponse,accounts,API_PARTIAL,API_PARTIAL,NOT_APPLICABLE,EXTEND_EXISTING_API,EXTEND-ME-PROFILE,Account-native,self,self,,,SCREEN_PARTIALLY_COMPLETE (see CAPABILITY_STATUS),"PHASE C COMPLETE (core): ProfilePage now loads real GET /api/me (display_name/bio/birthday/avatar_color + authorized_families[].joined_at, additive), GET /api/me/markpoint/level, GET /api/me/markpoint/projection (balance), GET /api/me/markpoint/missions (completed count derived client-side, no backend change), and GET /api/families/{id}/members (member count, same call 1q already wired). Two stats (연속 달성/streak, 받은 배지/badges) have no backing data model anywhere in the backend (grep-confirmed) -- kept as disclosed fixture values, not fabricated, and reclassified NEW_SLICE_REQUIRED rather than silently built. See ProfilePage.tsx's own top-of-file comment.",1f-CORE_PROFILE; 1f-STREAK_STAT; 1f-BADGES_STAT,WIRED_AND_VERIFIED; POLICY_REQUIRED; POLICY_REQUIRED,NONE; POLICY-STREAK-DEFINITION (new); POLICY-BADGE-DEFINITION (new)
1g,FAMILY_CONTEXT,/family/schedule,frontend/src/features/family-schedule/FamilySchedulePage.tsx (view state),가족 일정,,,,,,,,,fixture,none,familySchedule.fixture.ts,none,"none (confirmed via grep, backend inventory)",none,none,none,API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-SCHEDULE,Account-native,family membership,family_id scoped,,,WIRED_AND_VERIFIED,"PHASE D COMPLETE: new SLICE-SCHEDULE (migration 0016, family_schedule_events, shared with 1o/2u/3a). Today/upcoming event lists real.",1g,WIRED_AND_VERIFIED,NONE
1h,FAMILY_CONTEXT,/family/album,frontend/src/features/family-album/FamilyAlbumPage.tsx (view state),앨범,,,,,,,,,fixture,none,familyAlbum.fixture.ts,none,"none (confirmed via grep, backend inventory)",none,none,none,API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-ALBUM-METADATA,Account-native,family membership,family_id scoped,,,WIRED_AND_VERIFIED,"PHASE D COMPLETE: new SLICE-ALBUM-METADATA (migration 0017, family_albums + family_album_photos, shared with 1p/1w/2y). Album list with real photo counts.",1h,WIRED_AND_VERIFIED,NONE
1i,FAMILY_CONTEXT,/family/todo,frontend/src/features/family-todo/FamilyTodoPage.tsx,할 일,,,,,,,,,fixture (with local useState mutation),"real local toggle only, no backend save",familyTodo.fixture.ts,none,"none (confirmed via grep, backend inventory)",none,none,none,API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-TODO,Account-native,family membership,family_id scoped,,,SCREEN_PARTIALLY_COMPLETE (see CAPABILITY_STATUS),"PHASE D COMPLETE: new SLICE-TODO (migration 0013, family_todos table). List/toggle-complete real end-to-end (GET/PATCH /api/families/{id}/todos). '+ 할 일 추가' button has no real create call wired: same design-contract-gap shape as 2z/3b -- no PM decision needed to notice it, but building a fabricated create form was out of this task's authority. Delete/assignee-validation real and tested.",1i-LIST_TOGGLE; 1i-CREATE,WIRED_AND_VERIFIED; API_READY_UI_BLOCKED,NONE; NONE
1j,AUTH_FLOW,/,frontend/src/pages/Auth/index.tsx,PIN 입력,,,,,,,,,real,real (PIN submit),none,pages/Auth/api/authApi.ts,POST /api/auth/login,domains/auth/service.py,LoginRequest/LoginResponse,player_auth,EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,none (pre-auth step),public,N/A,,,ALREADY_WIRED,,1j,ALREADY_WIRED,NONE
1j-1,AUTH_FLOW,/,frontend/src/pages/Auth/index.tsx,계정 잠금,,,,,,,,,real (server-derived 423 + lock message),real,none,pages/Auth/api/authApi.ts,POST /api/auth/login (423 branch),domains/auth/service.py,LoginRequest,player_auth,EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,none,public,N/A,,,ALREADY_WIRED,,1j-1,ALREADY_WIRED,NONE
1k,USER_DASHBOARD,/markpoint (overlay),frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),미션 상세,,,,,,,,,real (title/reward via weekly-list) + fixture (checklist/photo sub-fields),real (submitMission),missionDetail.fixture.ts (checklist/photo only),shared/api/markpointApi.ts,"GET .../missions (filtered), POST .../missions/{id}/submit",domains/markpoint_target/service.py,MissionOut,markpoint_missions,API_PARTIAL,API_PARTIAL,NOT_APPLICABLE,EXTEND_EXISTING_API,EXTEND-MARKPOINT-MISSION-DETAIL,Account-native,active family membership,family_id scoped,,,SCREEN_PARTIALLY_COMPLETE (see CAPABILITY_STATUS),"PHASE C COMPLETE (description/checklist): additive MarkpointMission.description (Text) and .checklist (JSONB list of {label,done}) columns (migration 0012, nullable, no backfill), new MissionCreate.checklist input, new PATCH .../missions/{id}/checklist endpoint (assignee-only, only while status=active), MissionOut extended with description/checklist/rejection_reason/reviewer_display_name via a new mission_out() builder (same async cross-domain-resolve pattern as 1t's participant_out). Frontend: MissionDetailScreen's checklist rows are now clickable (onToggleItem), calling the real endpoint; progress/counts derive from the real checklist. Photo-evidence submission stays POLICY_REQUIRED: no file-storage abstraction exists anywhere in backend/app, same infra gate as Album (2v) and avatar upload (2z) -- static photoNotice copy only, no upload control wired.",1k-CORE; 1k-DESCRIPTION; 1k-CHECKLIST; 1k-PHOTO_EVIDENCE,WIRED_AND_VERIFIED; WIRED_AND_VERIFIED; WIRED_AND_VERIFIED; POLICY_REQUIRED/HUMAN_GATE,NONE; NONE; NONE; POLICY-ALBUM-STORAGE-INFRA
1l,USER_DASHBOARD,/markpoint (overlay),frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),보상 교환,,,,,,,,,fixture (balance patched real),none,rewardExchange.fixture.ts,none,POST .../ledger/adjustments exists for the point-debit side; no reward-catalog endpoint,domains/markpoint_target/service.py (ledger only),PointAdjustment/LedgerOut,markpoint_ledger (no Reward table),API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-REWARD-CATALOG,Account-native,active family membership,family_id scoped,,,WIRED_AND_VERIFIED,"PHASE D COMPLETE: new SLICE-REWARD-CATALOG (migration 0018, reward_catalog_items + reward_redemptions, shared with 2h/2j). Real catalog list, real redemption via new markpoint_target.service.self_spend (not adjust_points, which needs an admin-only permission no child holds).",1l,WIRED_AND_VERIFIED,NONE
1m,ADMIN_DASHBOARD,/admin (nested),frontend/src/pages/AdminDashboard/views/DashboardView/components/PendingApprovalModal.tsx,관리자 승인 대기함,,,,,,,,,"real (useAdminData, PendingApprovalModal)",real (via useAdminData/usePointView/useMissionView/etc.),none,pages/AdminDashboard/api/adminApi.ts,"various /api/admin/* (see backend inventory, admin aggregator)",domains/admin/router.py (thin wrapper over mission/deduction/daily_point/player/notification services),"various (MissionResponse, DeductionResponse, PlayerListItem, NotificationResponse, etc.)","players,missions,deductions,daily_points,notifications (legacy)",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Legacy admin (require_admin),admin-only,N/A (legacy platform-wide admin),,,ALREADY_WIRED,,1m,ALREADY_WIRED,NONE
