SOURCE_ORDER,CANONICAL_ID,SCREEN_LABEL,OWNER_AGGREGATE,IMPLEMENTATION_ROUTE,VIEWPORT_FAMILY,VIEWPORT_WIDTH,VIEWPORT_HEIGHT,REFERENCE_SOURCE,REFERENCE_SHA256,REFERENCE_WRAPPER,REFERENCE_SCREENSHOT,IMPLEMENTATION_SCREENSHOT,SIDE_BY_SIDE_SCREENSHOT,DIFF_SCREENSHOT,DOM_STRUCTURE_STATUS,CONTENT_STATUS,ASSET_STATUS,GEOMETRY_STATUS,TYPOGRAPHY_STATUS,COLOR_STATUS,RESPONSIVE_STATUS,OVERFLOW_STATUS,INITIAL_SEVERITY,CORRECTION_APPLIED,MODIFIED_FILES,FINAL_SEVERITY,FINAL_VISUAL_STATUS,NOTES
1,1a,로그인,,/__wave6/1a,MOBILE,390,844,dc.html,,1a,references/1a__mobile__reference.png,implementations/1a__mobile__implementation.png,side-by-side/1a__mobile__side-by-side.png,diff/1a__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1a,S0,PASS,"FULLY REBUILT to match source: hero banner (brand+tagline), profile cards with level/points, locked-profile state with reason/retry text, notice box, admin-login link. Verified: content/structure/copy all match reference closely. Product-integration relationship (merge into AuthPage vs stay separate) remains PM_DECISION_REQUIRED per Ownership Matrix — not a visual blocker."
2,1a,로그인,,/__wave6/1a,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1a,references/1a__tablet-portrait__reference.png,implementations/1a__tablet-portrait__implementation.png,side-by-side/1a__tablet-portrait__side-by-side.png,diff/1a__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1a,S0,PASS,"FULLY REBUILT, verified via screenshot at 820px — content scales correctly with widened card."
3,1a,로그인,,/__wave6/1a,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1a,references/1a__tablet-landscape__reference.png,implementations/1a__tablet-landscape__implementation.png,side-by-side/1a__tablet-landscape__side-by-side.png,diff/1a__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1a,S0,PASS,"FULLY REBUILT, verified via screenshot at 1180px."
4,1a-1,로그인 폼,,/login,MOBILE,390,844,dc.html,,1a-1,references/1a-1__mobile__reference.png,implementations/1a-1__mobile__implementation.png,side-by-side/1a-1__mobile__side-by-side.png,diff/1a-1__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1a-1,S1,PASS_RASTER_ONLY,Close match; impl adds one extra subtitle line under brand header not clearly present in ref at this crop. Needs full-res check.
5,1a-1,로그인 폼,,/login,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1a-1,references/1a-1__tablet-portrait__reference.png,implementations/1a-1__tablet-portrait__implementation.png,side-by-side/1a-1__tablet-portrait__side-by-side.png,diff/1a-1__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1a-1,S1,PASS_RASTER_ONLY,"Close match, consistent with mobile."
6,1a-1,로그인 폼,,/login,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1a-1,references/1a-1__tablet-landscape__reference.png,implementations/1a-1__tablet-landscape__implementation.png,side-by-side/1a-1__tablet-landscape__side-by-side.png,diff/1a-1__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1a-1,S1,PASS_RASTER_ONLY,"Close match, consistent."
7,1b,홈,,/__wave6/1b,MOBILE,390,844,dc.html,,1b,references/1b__mobile__reference.png,implementations/1b__mobile__implementation.png,side-by-side/1b__mobile__side-by-side.png,diff/1b__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1b,S1,PASS_RASTER_ONLY,"Close match. Ref service-grid tiles show '준비중' badges on 가족일정/앨범/할일; impl shows no badges (features now live). Minor, plausibly intentional."
8,1b,홈,,/__wave6/1b,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1b,references/1b__tablet-portrait__reference.png,implementations/1b__tablet-portrait__implementation.png,side-by-side/1b__tablet-portrait__side-by-side.png,diff/1b__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1b,S1,PASS_RASTER_ONLY,"Good match, consistent with mobile."
9,1b,홈,,/__wave6/1b,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1b,references/1b__tablet-landscape__reference.png,implementations/1b__tablet-landscape__implementation.png,side-by-side/1b__tablet-landscape__side-by-side.png,diff/1b__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1b,S1,PASS_RASTER_ONLY,"Good match, consistent."
10,1c,포인트 잔치,,/__wave6/1c,MOBILE,390,844,dc.html,,1c,references/1c__mobile__reference.png,implementations/1c__mobile__implementation.png,side-by-side/1c__mobile__side-by-side.png,diff/1c__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1c,S0,PASS,Strong match.
11,1c,포인트 잔치,,/__wave6/1c,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1c,references/1c__tablet-portrait__reference.png,implementations/1c__tablet-portrait__implementation.png,side-by-side/1c__tablet-portrait__side-by-side.png,diff/1c__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1c,S0,PASS,"Strong match, consistent with mobile."
12,1c,포인트 잔치,,/__wave6/1c,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1c,references/1c__tablet-landscape__reference.png,implementations/1c__tablet-landscape__implementation.png,side-by-side/1c__tablet-landscape__side-by-side.png,diff/1c__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1c,S0,PASS,"Strong match, consistent."
13,1d,대화,,/__wave6/1d,MOBILE,390,844,dc.html,,1d,references/1d__mobile__reference.png,implementations/1d__mobile__implementation.png,side-by-side/1d__mobile__side-by-side.png,diff/1d__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1d,S1,PASS_RASTER_ONLY,"Close structural match; chat bubbles, date divider, unread marker, photo grid, input bar all present. Minor reaction-badge rendering difference."
14,1d,대화,,/__wave6/1d,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1d,references/1d__tablet-portrait__reference.png,implementations/1d__tablet-portrait__implementation.png,side-by-side/1d__tablet-portrait__side-by-side.png,diff/1d__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1d,S1,PASS_RASTER_ONLY,"Close match, wide chat layout renders correctly."
