screen_id,zone_name,dom_selector_basis,parent,display,position,width,height,padding,gap_margin,alignment,overflow,responsive_behavior,repeated_use,component_candidate,source_class
A1,PhoneMockupFrame,"div[data-screen-label=""로그인""]",screen wrapper,flex column,static,480px,auto,n/a,n/a,n/a,hidden(border-radius:44px),"고정폭, 반응형 규칙 없음",10/10 screens(같은 프레임),"PRESENTATION_ARTIFACT(phone mockup, not a real component)",CSS_LITERAL
A1,StatusBarMock,first child div,PhoneMockupFrame,flex row space-between,static,100%,auto,10px 30px 0,n/a,align-items:center,visible,고정,10/10 screens,"PRESENTATION_ARTIFACT(iOS status bar fake, OS chrome — 실제 구현에 넣지 않을 항목)",CSS_LITERAL
A1,BrandHero,logo+h2+p wrapper,PhoneMockupFrame,flex column,static,auto,auto,12px 0 0,n/a,align-items:center,visible,고정,"A1,A1-S1,A2,A3,A4,A5(로고 반복 사용)",LogoBrandBlock 후보,CSS_LITERAL
A1,ProfileSelectorCard,3rd child (white rounded panel),PhoneMockupFrame,flex column,static,auto(margin:18px 12px 0),flex:1 0 auto,16px 18px 12px,10px,n/a,visible,"고정, 카드 내부 스크롤 규칙 없음(overflow 없음 → 3+락 카드 시 넘침 가능성 NOT_VERIFIED)",1/10(A1 전용),SelectorPanel 후보,CSS_LITERAL
A1,PlayerCard(available),흰 배경 rounded row (x2: 서연/민준),ProfileSelectorCard,flex row,static,auto,auto,12px,11px,align-items:center,visible,"고정폭 카드, 반응형 없음",2회 반복(동일 패턴),PlayerCard 후보(avatar+name+level pill+point+chevron),CSS_LITERAL
A1,PlayerCard(locked),회색 배경 row (지호),ProfileSelectorCard,flex row,static,auto,auto,12px,11px,align-items:center,visible,고정,1회(잠김 변형),PlayerCard locked variant,CSS_LITERAL
A1,LockNoticeBanner,연보라 배경 안내 행,ProfileSelectorCard,flex row,static,auto,auto,11px,10px,align-items:center,visible,고정,1회,InfoBanner 후보,CSS_LITERAL
A1,AdminEntryRow,하단 gear+관리자로그인 행,ProfileSelectorCard,flex row space-between,static,auto,auto,4px 4px 0,n/a,align-items:center,visible,margin-top:auto(하단 고정),"A1,A1-S1(유사 패턴)",FooterActionRow 후보,CSS_LITERAL
A1,HomeIndicatorBar,132x5 pill,PhoneMockupFrame,block,static,132px,5px,n/a,n/a,align-self:center,visible,고정,10/10 screens,"PRESENTATION_ARTIFACT(iOS home indicator, OS chrome)",CSS_LITERAL
A1-S1,PhoneMockupFrame,"div[data-screen-label=""로그인 폼""]",screen wrapper,flex column,static,480px,auto,n/a,n/a,n/a,hidden,고정폭,10/10,PRESENTATION_ARTIFACT,CSS_LITERAL
A1-S1,BrandHero(compact),logo(150px)+h2(31px)+p,PhoneMockupFrame,flex column,static,auto,auto,10px 0 0,n/a,align-items:center,visible,"고정, A1 대비 로고 축소(210→150px)",반복이나 크기 변형,LogoBrandBlock(compact variant),CSS_LITERAL
A1-S1,LoginFormPanel,흰 배경 rounded panel,PhoneMockupFrame,flex column,static,auto(margin:20px 12px 0),flex:1 0 auto,22px 20px 16px,14px,n/a,visible,고정,1/10,FormPanel 후보,CSS_LITERAL
A1-S1,TextField(아이디),1px border input row,LoginFormPanel,flex row,static,auto,auto,14px 16px,10px,align-items:center,visible,고정,2회(아이디/비번 패턴 유사),TextField 후보,CSS_LITERAL
A1-S1,"TextField(비밀번호,focused+error)",1.5px accent border + focus ring + error row,LoginFormPanel,flex column,static,auto,auto,13px 16px,7px,align-items:center,visible,고정,1회(에러 variant),TextField error/focus variant 후보,CSS_LITERAL
A1-S1,RememberMeRow,체크+텍스트 / 비밀번호찾기 행,LoginFormPanel,flex row space-between,static,auto,auto,n/a,n/a,align-items:center,visible,고정,1회,CheckboxRow 후보,CSS_LITERAL
