SOURCE_ORDER,CANONICAL_ID,INTERNAL_DISAMBIGUATED_ID,SCREEN_LABEL,DOMAIN,OWNER_AGGREGATE,PRIMARY_ROLE,SECONDARY_ROLE,PARENT_OWNER,PARENT_SCREEN_ID,PARENT_SCREEN_LABEL,RELATION_TYPE,ROUTE_REQUIREMENT,CURRENT_REACT_SOURCE,CURRENT_PREVIEW_ROUTE,CURRENT_PRODUCT_ROUTE,PREVIEW_PRODUCT_RELATION,INTEGRATION_ACTION,FINAL_INTEGRATION_TARGET,TARGET_PATH_CONFIDENCE,RESPONSIVE_FAMILY,SHARED_DISPOSITION,API_DOMAIN,API_READINESS_REFERENCE,PM_DECISION_REQUIRED,EVIDENCE,NOTES,W7_2_PORT_READY
1,1a,1a-profile-selector,로그인,ACCOUNT_AUTH,AUTH_FLOW,STATE_VARIANT,,AuthPage,ROOT,/,CHILD_OF,EXISTING_ROUTE,,,/,PRODUCT_IMPLEMENTATION_ALREADY_EXISTS,MERGE_CANONICAL_INTO_EXISTING_VIEW,frontend/src/pages/Auth/,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_READY,YES,AuthPage PlayerSelectView,1a versus 1a-1 visual/product relationship needs PM confirmation,YES
2,1a-1,1a-1-password-login,로그인 폼,ACCOUNT_AUTH,AUTH_FLOW,ROUTE_PAGE,,STANDALONE_PUBLIC,NONE,NONE,NO_PARENT,EXISTING_ROUTE,frontend/src/pages/A1AccountLogin/index.tsx,,/login,PREVIEW_AND_PRODUCT_DUPLICATED,KEEP_EXISTING_PRODUCT_IMPLEMENTATION,frontend/src/pages/A1AccountLogin/,EXACT_PATH_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_READY,YES,App /login and marker,Keep distinct from player selector pending PM flow decision,NOT_APPLICABLE
3,1b,1b-family-home,홈,HOME,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,NONE,NONE,ROOT_OF,EXISTING_ROUTE,frontend/src/pages/FamilyHomePreview/index.tsx,/__wave6/1b,/family,PREVIEW_REFERENCE_ONLY,MERGE_CANONICAL_INTO_EXISTING_ROUTE,frontend/src/platform/pages/FamilyLanding.tsx,EXACT_PATH_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,SHARED_CANDIDATE_AFTER_RESPONSIVE,FAMILY,API_PARTIAL,NO,App shell nav and FamilyLanding,Existing family route is product owner,NOT_APPLICABLE
4,1c,1c-point-festival,포인트 잔치,POINT,USER_DASHBOARD,ROUTE_PAGE,,USER_DASHBOARD,NONE,NONE,ROOT_OF,EXISTING_ROUTE,frontend/src/pages/PointFestivalPreview/index.tsx,/__wave6/1c,/markpoint,PREVIEW_REFERENCE_ONLY,MERGE_CANONICAL_INTO_EXISTING_ROUTE,frontend/src/platform/markpoint/MarkpointUser.tsx,EXACT_PATH_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,SHARED_CANDIDATE_AFTER_RESPONSIVE,MARKPOINT,API_PARTIAL,NO,Shell target navigation,Do not use legacy UserDashboard as final owner,NOT_APPLICABLE
5,1d,1d-family-chat,대화,CONVERSATION_WAGLE,WAGLE,ROUTE_PAGE,,WAGLE,NONE,NONE,ROOT_OF,EXISTING_ROUTE,frontend/src/pages/FamilyChatPreview/index.tsx,/__wave6/1d,/wagle,PREVIEW_REFERENCE_ONLY,MERGE_CANONICAL_INTO_EXISTING_ROUTE,frontend/src/platform/pages/WagleLanding.tsx,EXACT_PATH_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,SHARED_CANDIDATE_AFTER_RESPONSIVE,WAGLE,API_PARTIAL,NO,Shell and WagleLanding,Room view remains child composition,NOT_APPLICABLE
6,1e,1e-admin-point,관리자 포인트 관리,ADMIN_POINT,ADMIN_DASHBOARD,NESTED_ROUTE,,ADMIN_DASHBOARD,NONE,NONE,CHILD_OF,EXISTING_NESTED_ROUTE,frontend/src/pages/AdminPointManagementPreview/index.tsx,/__wave6/1e,/admin/points,PREVIEW_REFERENCE_ONLY,REPLACE_EXISTING_VIEW_VISUALS,frontend/src/pages/AdminDashboard/views/PointView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,KEEP_PAGE_LOCAL,MARKPOINT,API_READY,NO,AdminDashboard route registry,,NOT_APPLICABLE
7,1f,1f-my-profile,나 프로필,PROFILE,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,NONE,NONE,ROOT_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/MyProfilePreview/index.tsx,/__wave6/1f,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/pages/profile/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_PARTIAL,YES,No existing profile destination,Final URL policy requires PM decision,NOT_APPLICABLE
8,1g,1g-family-schedule,가족 일정,SCHEDULE,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,1b,홈,CHILD_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/FamilySchedulePreview/index.tsx,/__wave6/1g,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/family-schedule/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,FAMILY,API_MISSING,NO,Family domain source,,NOT_APPLICABLE
9,1h,1h-album,앨범,ALBUM_PHOTO,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,1b,홈,CHILD_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/FamilyAlbumPreview/index.tsx,/__wave6/1h,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/family-album/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,FAMILY,API_MISSING,NO,Family domain source,,NOT_APPLICABLE
10,1i,1i-family-todo,할 일,TODO,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,1b,홈,CHILD_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/FamilyTodoPreview/index.tsx,/__wave6/1i,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/family-todo/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,FAMILY,API_MISSING,NO,Family domain source,,NOT_APPLICABLE
11,1j,1j-pin-entry,PIN 입력,ACCOUNT_AUTH,AUTH_FLOW,STATE_VARIANT,,AuthPage,1a,로그인,CHILD_OF,EXISTING_ROUTE,frontend/src/pages/PinEntryPreview/index.tsx,/__wave6/1j,/,PREVIEW_AND_PRODUCT_DUPLICATED,REPLACE_EXISTING_VIEW_VISUALS,frontend/src/pages/Auth/components/PinInputView.tsx,EXACT_PATH_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_READY,NO,AuthPage mode pin,,NOT_APPLICABLE
12,1j-1,1j-lockout,계정 잠금,ACCOUNT_AUTH,AUTH_FLOW,STATE_VARIANT,,AuthPage,1j,PIN 입력,CHILD_OF,NO_ROUTE,frontend/src/pages/AccountLockPreview/index.tsx,/__wave6/1j-1,,PREVIEW_REFERENCE_ONLY,IMPLEMENT_AS_STATE_VARIANT,frontend/src/pages/Auth/,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_READY,NO,Auth flow state,,NOT_APPLICABLE
13,1k,1k-mission-detail,미션 상세,MISSION,USER_DASHBOARD,NESTED_ROUTE,,USER_DASHBOARD,1c,포인트 잔치,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/MissionDetailPreview/index.tsx,/__wave6/1k,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/platform/markpoint/MarkpointUser.tsx,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Mission-specific detail,,NOT_APPLICABLE
14,1l,1l-reward-exchange,보상 교환,REWARD,USER_DASHBOARD,NESTED_ROUTE,,USER_DASHBOARD,1c,포인트 잔치,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/RewardExchangePreview/index.tsx,/__wave6/1l,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/platform/markpoint/MarkpointUser.tsx,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Markpoint reward flow,,NOT_APPLICABLE
15,1m,1m-approval-queue,관리자 승인 대기함,ADMIN_MISSION,ADMIN_DASHBOARD,TAB_VIEW,,ADMIN_DASHBOARD,2e,미션 목록 관리,CHILD_OF,EXISTING_NESTED_ROUTE,frontend/src/pages/MissionApprovalPreview/index.tsx,/__wave6/1m,/admin/missions,PREVIEW_REFERENCE_ONLY,MERGE_CANONICAL_INTO_EXISTING_VIEW,frontend/src/pages/AdminDashboard/views/MissionView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,KEEP_PAGE_LOCAL,MARKPOINT,API_READY,NO,MissionView existing approvals,,NOT_APPLICABLE
16,1n,1n-notification-list,알림 목록,NOTIFICATION,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,NONE,NONE,ROOT_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/NotificationListPreview/index.tsx,/__wave6/1n,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/notifications/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,FAMILY,API_PARTIAL,NO,No user notification route,,NOT_APPLICABLE
17,1o,1o-schedule-add,일정 추가,SCHEDULE,FAMILY_CONTEXT,MODAL_DIALOG,NESTED_ROUTE,FAMILY_CONTEXT,1g,가족 일정,OPENS,NO_ROUTE,frontend/src/pages/ScheduleAddPreview/index.tsx,/__wave6/1o,,PREVIEW_REFERENCE_ONLY,CREATE_MODAL_OR_DIALOG,frontend/src/features/family-schedule/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,SHARED_CANDIDATE_AFTER_WIRING,FAMILY,API_MISSING,NO,Add action from schedule,,NOT_APPLICABLE
18,1p,1p-photo-detail,사진 상세,ALBUM_PHOTO,FAMILY_CONTEXT,NESTED_ROUTE,,FAMILY_CONTEXT,1h,앨범,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/PhotoDetailPreview/index.tsx,/__wave6/1p,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/features/family-album/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,FAMILY,API_MISSING,NO,Shareable photo entity supports URL,,NOT_APPLICABLE
