token,source_file,usage_count,consuming_components,classification,phase_a_candidate,match_delta,migration_impact,removal_risk,pm_decision
--color-brand-600: #5835DF,frontend/src/styles/global.css:28,"NOT_VERIFIED(전수 grep 미수행, 존재만 확인)",NOT_VERIFIED,ACTIVE_TOKEN,#5A35DF(117occ),"SOURCE_CONFLICT(근접이나 비동일, R채널 88 vs 90)",LOW(육안상 거의 동일),N/A,근접값을 동일 취급할지 PM 확인 필요
--color-ink-900: #171D3A,global.css:32,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,"#17103A(188occ, 최다빈도)","SOURCE_CONFLICT(근접, G채널 0x10=16 vs 0x1D=29)",LOW-MEDIUM,N/A,가장 많이 쓰이는 승인 색상이 현재 최상위 ink 토큰과 정확히 일치하지 않음 — 확인 필요
--color-brand-100: #EEE8FF,global.css:30,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,#EEE8FF(19occ),EXACT_MATCH,NONE(이미 동일),N/A,불필요(이미 일치)
--color-danger: #EF4665,global.css:37,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,#EF4665(19occ),EXACT_MATCH,NONE,N/A,불필요
--color-canvas: #F7F6FC,global.css:34,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,#F7F6FC(12occ),EXACT_MATCH,NONE,N/A,불필요
--color-chat-own: #6944EF / --color-chat-other: #F3F0FF,global.css:38,확인됨(A4 관련 컴포넌트 다수 — MessageBubble.tsx/ChatHeader 등),"platform/doran/components/MessageBubble, ChatComposer 등(Wave 6.0B 주석 존재)",ACTIVE_TOKEN,#6944EF / #F3F0FF(A4 정확 일치),EXACT_MATCH,NONE(이미 Wave 6.0B에서 반영된 것으로 추정),N/A,불필요
--radius-pill: 999px,global.css:43,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,999px(50occ),EXACT_MATCH,NONE,N/A,불필요
--radius-control: 16px,global.css:42,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,16px(10occ),EXACT_MATCH,NONE,N/A,불필요
--size-touch-min: 44px,global.css:46,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,"44px(A4 전송버튼, 유일한 명시적 44px)",EXACT_MATCH,NONE,N/A,불필요
--space-1..12 (4/8/12/16/20/24/32/40/48px),global.css:39-41,NOT_VERIFIED,NOT_VERIFIED,ACTIVE_TOKEN,"3/5/7/9/11px 등 홀수값 다수(최빈 gap=3px, 97occ)","SOURCE_CONFLICT(스케일 축 자체가 다름: 현재=4배수, 승인=홀수 다수)",MEDIUM(스케일 재설계 필요할 수 있음),N/A,"4px 배수 스케일을 유지할지, 승인자료의 세분화된 홀수 gap을 반영할 새 스케일을 추가할지"
"font-family: 'Pretendard', sans-serif (body, global.css:76)","global.css:3,76",전역(body 전체),전체 애플리케이션,CURRENT_SSOT,'Noto Sans KR'(승인자료 전체),SOURCE_CONFLICT(완전 다른 폰트 패밀리),HIGH(전역 타이포그래피 영향),HIGH(전체 화면 룩앤필 변경),"REQUIRES_PM_DECISION — Noto Sans KR로 전환할지, 현재 Pretendard 유지가 제품 결정인지"
"--admin-sidebar-bg: #1e1b4b 등 ([data-domain=admin] 전용, global.css:61-66)",global.css:60-66,NOT_VERIFIED,AdminDashboard 계열(레거시),LEGACY_TOKEN,A5 승인자료의 sidebar bg는 #FBFAFE(거의 흰색) — 완전히 다른 톤(진남색 vs 연보라 화이트),SOURCE_CONFLICT,MEDIUM(레거시 AdminDashboard 전체가 다크 사이드바인 반면 승인자료는 라이트 사이드바),MEDIUM(레거시 admin 전체 룩 변경 필요),레거시 다크 admin sidebar를 승인자료의 라이트 sidebar로 재구성할지
"--bg/--card/--accent/--blue/--text/--muted/--gold/--danger/--shadow/--input-bg (global.css:6-15, 레거시 최초 토큰)",global.css:6-15,NOT_VERIFIED(레거시 UserDashboard/AdminDashboard 전반 추정),"UserDashboard, AdminDashboard(레거시)",LEGACY_TOKEN,일부 중복(--danger:#ef4444 vs 승인 --color-danger:#EF4665 — 서로 다른 두 개의 danger 토큰이 현재 파일에 공존),TOKEN_CONFLICT(같은 global.css 안에 danger 색이 2벌 존재: #ef4444와 #EF4665),MEDIUM(중복 토큰 정리 필요),MEDIUM(어느 컴포넌트가 어느 --danger를 쓰는지 미확인 상태로 제거 시 회귀 위험),레거시 토큰 세트(§1-15줄)와 신규 Semantic 토큰 세트(§17-49줄)의 공존을 언제까지 유지할지
"--brand-purple/--brand-coral/--brand-orange/--brand-mint/--brand-skyblue/--brand-pink/--brand-gold(에셋 가이드 팔레트, global.css:18-24)",global.css:17-24,NOT_VERIFIED,NOT_VERIFIED,"UNUSED_CANDIDATE(주석상 '에셋 가이드 팔레트'로 명명, 실 소비처 미확인)","승인 HTML(screen_renew)의 93개 색상 중 정확히 일치하는 항목 없음(다른 톤의 팔레트로 보임 — 이 팔레트는 아마도 FAMILY_PLATFORM 이전의 또 다른 자산 가이드에서 유래한 것으로 추정, NOT_VERIFIED 출처)",NOT_VERIFIED,LOW(미사용 추정),LOW,이 팔레트의 실제 출처와 사용 여부 확인 필요 — 이번 Task의 승인자료(screen_renew)와는 직접 연결되지 않음
