CANONICAL_ID,RUNTIME_STATUS,MOBILE_STATUS,TABLET_PORTRAIT_STATUS,TABLET_LANDSCAPE_STATUS,HORIZONTAL_OVERFLOW,CONSOLE_ERROR_COUNT,PAGE_ERROR_COUNT,FAILED_ASSET_COUNT,ROUTE_LEVEL_API_REQUEST_COUNT,WEBSOCKET_COUNT,SSE_COUNT,PRODUCT_NAVIGATION_COUNT,IMPLEMENTATION_STATUS,PRODUCT_INTEGRATION_STATUS,VISUAL_CLOSEOUT_NOTE
+1a,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2l,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2m,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2n,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2o,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2p,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2q,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2r,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2s,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2t,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2u,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2v,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2w,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2x,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2y,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
2z,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3a,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3b,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3c,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3d,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3e,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3f,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3g,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3h,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3i,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3j,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3k,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
3l,PASS,PASS,PASS,PASS,0,0,0,0,0,0,0,0,REACT_CANONICAL_READY,PRODUCT_INTEGRATION_PENDING,Structural baseline only; detailed fidelity W7.3
