category,raw_value,occurrence_count,source_files,screen_ids,intended_semantic_role,classification,proposed_candidate_name,confidence,pm_gate_required,note
color,#17103A,188,standalone-src.html,"A1,A1-S1,A2,A3,A4,A5,EXTRA",최고강조 잉크(제목/핵심수치),SEMANTIC_CANDIDATE,color.approved.NEW_17103A,MEDIUM,YES,
color,#5A35DF,117,standalone-src.html,"A1,A1-S1,A2,A3,A4,A5,EXTRA",브랜드 accent(버튼/링크/활성상태),SOURCE_CONFLICT,near-miss of --color-brand-600,"MEDIUM(채널당 delta<=4, 반올림 오차 가능성 vs 의도적 변경 가능성 모두 존재 — PM 확인 필요)",YES,
color,#FFF,107,standalone-src.html,ALL,표면 흰색,MIGRATION_ALIAS_CANDIDATE,--color-surface,HIGH(EXACT_HEX_MATCH),YES,
color,#8A83A8,82,standalone-src.html,ALL,muted 보조텍스트(3차 정보),SEMANTIC_CANDIDATE,color.approved.NEW_8A83A8,MEDIUM,YES,
color,#4A3F72,70,standalone-src.html,"A1,A1-S1,A3,A5","보조 본문(2차 정보, 인디고 톤)",SEMANTIC_CANDIDATE,color.approved.NEW_4A3F72,MEDIUM,YES,
color,#A8A5B6,50,standalone-src.html,ALL,placeholder/시간/비활성 아이콘,SEMANTIC_CANDIDATE,color.approved.NEW_A8A5B6,MEDIUM,YES,
color,#6B6880,21,standalone-src.html,"A4,A5,EXTRA-01",라벨/등록자 텍스트,SEMANTIC_CANDIDATE,color.approved.NEW_6B6880,MEDIUM,YES,
color,#EEE8FF,19,standalone-src.html,"A1,A2,A3,EXTRA-01",브랜드 100 배경(배지/pill 배경),MIGRATION_ALIAS_CANDIDATE,--color-brand-100,HIGH(EXACT_HEX_MATCH),YES,
color,#EF4665,19,standalone-src.html,"A1-S1,A3,A5",danger/차감/에러 강조,MIGRATION_ALIAS_CANDIDATE,--color-danger,HIGH(EXACT_HEX_MATCH),YES,
color,#EAE7F5,15,standalone-src.html,A5,admin 보더 라인(연한 회보라),SOURCE_CONFLICT,near-miss of --color-line,"MEDIUM(채널당 delta<=4, 반올림 오차 가능성 vs 의도적 변경 가능성 모두 존재 — PM 확인 필요)",YES,
color,#FDFDFF,14,standalone-src.html,"A2,A3,A4,EXTRA",BottomDock 배경(거의 흰색),SOURCE_CONFLICT,near-miss of --color-surface,"MEDIUM(채널당 delta<=4, 반올림 오차 가능성 vs 의도적 변경 가능성 모두 존재 — PM 확인 필요)",YES,
color,#C7C3D6,13,standalone-src.html,EXTRA-01,chevron 비활성 컬러,SEMANTIC_CANDIDATE,color.approved.NEW_C7C3D6,MEDIUM,YES,
color,#F7F6FC,12,standalone-src.html,ALL,캔버스 배경(카드 바깥 배경),MIGRATION_ALIAS_CANDIDATE,--color-canvas,HIGH(EXACT_HEX_MATCH),YES,
