No,Canonical_Screen_ID,Screen_Label,Canonical_Source,Intended_Surface_Type,Expected_Product_Consumer,Actual_Product_Consumer,Live_Route_Entry,Rendered_Component,Import_Render_Evidence,Preview_Route,Legacy_Consumer,Auth_Role_Guard,API_Store_Context_Binding,Primary_Classification,Gap_Summary,Blocking_Type,Evidence_Files,Runtime_Verified,Confidence,Recommended_Next_Action,Remediation_Evidence,Remediation_Note,Final_Classification,Final_Confidence,Implementation_Readiness,W7_4_Implementation_Task,Final_Implementation_Readiness,Product_Container,Product_Entry,Integration_Strategy,Canonical_Single_Source,Product_Entry_Test,Responsive_Test,Detached_Regression,Existing_Behavior_Regression,Implementation_Result,Implementation_Evidence,W7_4_Expansion_Task,Expansion_Previous_Readiness,Expansion_Final_Result,Expansion_Canonical_Contract,Expansion_Product_Consumer,Expansion_Integration_Strategy,Expansion_Preserved_Features,Expansion_Product_Entry_Test,Expansion_Responsive_Test,Expansion_Detached_Regression,Expansion_Runtime_Verification,Expansion_Evidence,Cross_Domain_QA_Task,Cross_Domain_QA_Independence,Cross_Domain_QA_Result,Cross_Domain_QA_Evidence,Access_Remediation_Task,Access_Remediation_Result,Access_Remediation_Evidence
1,1a,로그인/프로필 선택,ProfileSelectorPreview,Route,/,AuthPage (legacy player-select+PIN flow),/,AuthPage,"App.tsx route ""/""",/__wave6/1a,YES - AuthPage is pre-existing legacy component,none (public entry),none confirmed real,LEGACY_LIVE_UI_ACTIVE,Real entry point exists at / but renders legacy AuthPage not canonical 1a component,none,frontend/src/App.tsx;frontend/src/pages/Auth/index.tsx,NO,MEDIUM,GAP-A - verify AuthPage vs canonical 1a relationship with PM,,Not in initial LOW set -- no remediation required this pass,LEGACY_LIVE_UI_ACTIVE,MEDIUM,READY_FOR_LEGACY_REPLACEMENT,MONGLE-W7-4-AUTH-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,IMPLEMENTED (was READY_FOR_LEGACY_REPLACEMENT; scoped to the profile-select step only),pages/Auth/index.tsx (AuthPage) via new pages/Auth/components/ProfileSelectorContainer.tsx (Product Adapter),/ (select mode),"MERGE_CANONICAL_INTO_EXISTING_CONTAINER, scoped to the select step only -- PIN entry (PinInputView) and admin login (AdminLoginView), the same flow's other two modes, are untouched because their own canonical Screens (1j/1j-1) are not implementation-ready; unifying with the separate /login Account-model login was out of authority (different auth paradigm, real design decision, not made by this task)","YES - ProfileSelectorPreview and AuthPage(select mode) both render screens/auth/ProfileSelector/ProfileSelectorScreen.tsx; Preview fixture unaffected by the additive prop-contract widening (verified: profile.id optional, falls back to name)","EXECUTED - real Playwright smoke (ad hoc script, not a repo artifact) against the live native WSL dev stack (dev.sh, real backend+PostgreSQL, 4 real seeded players): canonical 1a rendered with real player names/points (no fixture leakage), selecting a real profile resolved id->player and navigated to the real PIN screen with correct player context, back-navigation returned to 1a cleanly. 0 mutation (GET-only + client nav).","EXECUTED - 390x844/820x1180/1180x820, 0 horizontal overflow at any viewport, profile buttons rendered at all three","EXECUTED - ProfileSelectorPreview unchanged, confirmed unaffected by the additive type widening (fixture has no id, falls back to name, same as before)","PRESERVED - PIN entry, admin login, session establishment (useAuthStore.setLogin), 423 lockout handling, and the isLoggedIn redirect guard at the top of AuthPage are byte-for-byte unmodified; locked-profile guard reproduced at the container level (no onSelect forwarded when is_locked, mirroring legacy PlayerCard's disabled button) -- verified by code inspection only, no currently-locked seed account existed to exercise it live",IMPLEMENTED,"frontend/src/screens/auth/ProfileSelector/{types.ts,ProfileSelectorScreen.tsx,index.ts} (additive widening); frontend/src/pages/Auth/components/ProfileSelectorContainer.tsx (new); frontend/src/pages/Auth/index.tsx; deleted frontend/src/pages/Auth/components/{PlayerSelectView.tsx,PlayerCard.tsx} (fully orphaned, confirmed via grep)",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)","PASS - real login, canonical 1a renders real player data; locked-profile guard reproduced live this task with a disposable locked player (previously LOCKED_PROFILE_RUNTIME_NOT_REPRODUCED, now closed)",See this task's own QA evidence for exact commands/screenshots/logs,,,
2,1a-1,로그인 폼 (ID/PW),A1AccountLoginPage,Route,/login,A1AccountLoginPage (canonical-derived),/login,A1AccountLoginPage,"App.tsx route ""/login""; own docblock ""canonical 1a-1... WIRED_AND_VERIFIED""",none,NO,none (public),POST /api/auth/account/login real,LIVE_CANONICAL_INTEGRATED,None - fully wired per own docblock,none,frontend/src/pages/A1AccountLogin/index.tsx,YES (E2E 1a-1),HIGH,none,,Not in initial LOW set -- no remediation required this pass,LIVE_CANONICAL_INTEGRATED,HIGH,ALREADY_COMPLETE,MONGLE-W7-4-AUTH-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,ALREADY_COMPLETE (unchanged),pages/A1AccountLogin/index.tsx (unchanged),/login (unchanged),NONE_REQUIRED - already single-source per prior task,"YES (unchanged, not re-verified structurally this pass beyond a byte-diff confirming no accidental edit)",NOT_RE_EXECUTED - out of this task's changed-file set (confirmed 0 diff on pages/A1AccountLogin/**),NOT_RE_EXECUTED - unchanged,NOT_RE_EXECUTED - unchanged,"PRESERVED - not touched, 0 diff",PRESERVED_NO_CHANGE,"N/A - regression-reviewed only, not modified",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)",MATRIX_CONSISTENCY_ONLY - row-level classification/consumer/write-once integrity re-verified via automated diff this task; not individually runtime-exercised,"Automated CSV round-trip diff against HEAD (0 write-once column changes across all 64 rows); grep-based single-source consumer count (2 per Screen, confirmed for this row)",,,
3,1b,가족 홈,FamilyHomePreview,Route,/family,FamilyLandingPage (legacy-shaped real page),/family,FamilyLandingPage,"App.tsx route ""/family"" + comment ""used as-is not reskinned to W7.3 canonical mockups""",/__wave6/1b,YES - explicit App.tsx comment,ProtectedRoute,real account-context/subscription data,LEGACY_LIVE_UI_ACTIVE,Real functional page exists but does not render canonical 1b visual/component,none,frontend/src/App.tsx;frontend/src/platform/pages/FamilyLanding.tsx,YES (persistent dev stack),HIGH,GAP-A,,Not in initial LOW set -- no remediation required this pass,LEGACY_LIVE_UI_ACTIVE,HIGH,READY_FOR_LEGACY_REPLACEMENT,MONGLE-W7-4-FAMILY-HOME-AND-DOMAIN-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,"IMPLEMENTED (was READY_FOR_LEGACY_REPLACEMENT; zones 1-4 only, composed additively above existing real sections)",platform/pages/FamilyLanding.tsx (FamilyLanding) via new platform/pages/FamilyHomeContainer.tsx (Product Adapter),/family (a family is selected),"COMPOSE_CANONICAL_ABOVE_EXISTING_REAL_SECTIONS - the canonical Screen (zones 1-4: profile/hero/activity/services) is mounted at the top; every pre-existing real section below it (multi-family switcher, family-admin/service-admin badges, 3 feature links beyond the 4 tile slots, permission list) is unmodified, not replaced. The no-active-family multi-family-selector branch is untouched.","YES - FamilyHomePreview and FamilyLanding both render screens/family/FamilyHome/FamilyHomeScreen.tsx (newly extracted this task from the previously unextracted, never-live-wired FamilyHomePreview)","EXECUTED - real login + Playwright: real player/account data rendered (no fixture leakage), real family name shown below, markpoint tile click navigated to /markpoint, 0 console/page errors","EXECUTED - 390x844/820x1180/1180x820, 0 horizontal overflow","EXECUTED - /__wave6/1b confirmed still renders via the same canonical Screen + its own fixture, dock preview-only chrome unaffected","PRESERVED - family switcher, admin/service-admin badges, 7 feature links, permission list, and the no-active-family selector branch are all byte-identical to before, confirmed by diff",IMPLEMENTED,"frontend/src/screens/family/FamilyHome/** (new); frontend/src/platform/pages/FamilyHomeContainer.tsx (new); frontend/src/platform/pages/FamilyLanding.tsx (+3 lines only); frontend/src/pages/FamilyHomePreview/** (rewritten to consume the extracted Screen); frontend/src/shared/family/activityLogFormat.ts (new, extracted from FamilyMembersPage for reuse, 0 behavior change to 2r). Disclosed design note: the hero's Wagle CTA has no disabled/unavailable state in the frozen visual, unlike the tile grid -- inherited from the original frozen mockup design, not introduced this task.",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)","PASS - real login, canonical zones + all real sections render together, no duplication, tile nav works, 0 console errors",See this task's own QA evidence for exact commands/screenshots/logs,,,
4,1c,포인트 잔치,PointFestivalPreview,Route,/markpoint,MarkpointUserPage (legacy-shaped real page),/markpoint,MarkpointUserPage,"App.tsx route ""/markpoint"" + comment ""used as-is not reskinned""",/__wave6/1c,YES - explicit App.tsx comment,ProtectedRoute,real ledger/level/projection data,LEGACY_LIVE_UI_ACTIVE,Real functional page exists but does not render canonical 1c visual/component (though several nested modals inside it DO use canonical Screens - see 1k/1l/1s/2c/2h/2j),none,frontend/src/App.tsx;frontend/src/platform/markpoint/MarkpointUser.tsx,YES (persistent dev stack),HIGH,GAP-A,,Not in initial LOW set -- no remediation required this pass,LEGACY_LIVE_UI_ACTIVE,HIGH,READY_FOR_LEGACY_REPLACEMENT,MONGLE-W7-4-MARKPOINT-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,"IMPLEMENTED (was READY_FOR_LEGACY_REPLACEMENT; header + profile-card zones only, composed above the existing real weekly day-list/deductions/overlays, which are unmodified)",platform/markpoint/MarkpointUser.tsx (MarkpointUser),/markpoint,"COMPOSE_CANONICAL_ABOVE_EXISTING_REAL_SECTIONS, scoped to header+profile only (showWeeklySection=false) - the canonical Screen's own week-picker/cheer-messages/single-day-mission-list/history-row zones are NOT used in the Product: cheer messages have no backend capability anywhere (disclosed, not fabricated), and the week-picker+single-day list would either duplicate the real weekly day-list's own information in a second shape or break a committed E2E spec's DOM contract (tests/e2e/specs-mongle/03-target-ui.spec.ts: <ol>/<li> list, every cycle day always expanded, data-today marker, direct per-mission submit button) that the canonical picker does not reproduce","YES - PointFestivalPreview and MarkpointUser(header+profile zone) both render screens/markpoint/PointFestival/PointFestivalScreen.tsx; Preview renders the full Screen (all zones, its own fixture), Product renders it with showWeeklySection=false","EXECUTED - real Playwright smoke against the live native WSL dev stack: canonical header/profile rendered with real (zero-state, freshly seeded) account/level/point data, markpoint-balance/markpoint-level/markpoint-remaining testids verified present with correct real values (exact-text-matching the pre-existing committed spec's own assertions), reward-shop overlay opened correctly, canonical header's own logout button performed a real logout (session cleared, navigated to /). Real bug found and fixed during this verification: an invalid `font: 700 12px/normal inherit` CSS shorthand (carried over verbatim from the original never-live-wired Preview) was silently dropped by the browser, letting an unrelated, pre-existing, unscoped `header button{font-size:24px}` rule from a different stylesheet leak in and inflate the logout button to 144x48px, which starved the sibling title/subtitle text down to a 21px-wide column and wrapped it one character per line. Fixed with real longhand CSS properties plus a strengthened `.header .logout` selector, self-contained to this task's own new file.","EXECUTED - 390x844/820x1180/1180x820 on both the real Product entry and the Preview, 0 horizontal overflow at any size","EXECUTED - /__wave6/1c confirmed still renders the full canonical Screen (all zones incl. week-picker/cheers/missions/history) via its own fixture, 0 page errors","PRESERVED - the real weekly day-list (with its own committed E2E contract), the full deductions list, the reward-exchange/reward-shop/exchange-confirm/mission-detail/mission-reject/level-up overlay logic, and every real mutation handler are all byte-identical to before except being relocated from an old ad hoc header/card layout into a small real reward-entry-row + sub-stats row alongside the new canonical zone -- confirmed by diff",IMPLEMENTED,"frontend/src/screens/markpoint/PointFestival/** (new, extracted from the previously never-live-wired PointFestivalPreview); frontend/src/pages/PointFestivalPreview/{index.tsx,PointFestivalPreview.module.css} (rewritten to consume it, dock kept preview-local); frontend/src/platform/markpoint/MarkpointUser.tsx (header/3-card zone replaced by the canonical Screen; reward-entry buttons and 4 sub-stats relocated into their own real row, unchanged behavior; weekly day-list/deductions/all 6 overlays untouched)",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)","PASS - real login, canonical header/profile render with real data, markpoint-balance/-level/-remaining testids exact-text-verified; DEFECT_FOUND and fixed by the implementer session was independently re-confirmed present (button/text render correctly, no regression)",See this task's own QA evidence for exact commands/screenshots/logs,,,
5,1d,가족 대화,FamilyChatPreview,Route,/wagle,WagleLanding (legacy-shaped real page),/wagle,WagleLanding,"App.tsx route ""/wagle"" + comment ""used as-is not reskinned""",/__wave6/1d,YES - explicit App.tsx comment,ProtectedRoute+WaglePinLock,real WagleRoomView API/realtime,LEGACY_LIVE_UI_ACTIVE,Real functional page exists but does not render canonical 1d visual/component (though nested items 1t/2g/3c/3d/3e DO use canonical/real behavior),none,frontend/src/App.tsx;frontend/src/platform/pages/WagleLanding.tsx,YES (persistent dev stack + E2E),HIGH,GAP-A,,Not in initial LOW set -- no remediation required this pass,LEGACY_LIVE_UI_ACTIVE,HIGH,READY_FOR_LEGACY_REPLACEMENT,MONGLE-W7-4-WAGLE-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,ALREADY_COMPLETE (was READY_FOR_LEGACY_REPLACEMENT),WagleRoomView.tsx (Product Container/adapter),/wagle (room selected),MERGE_CANONICAL_INTO_EXISTING_CONTAINER,YES - FamilyChatPreview and WagleRoomView both render screens/wagle/FamilyChat/FamilyChatScreen.tsx,"Not executed this pass - no local backend venv/Postgres available to run tests/e2e/specs-mongle/03-target-ui.spec.ts Journey 4 and 04-w75-data-wiring.spec.ts; lint+typecheck+build PASS, code reviewed against existing test-id contract",NOT_EXECUTED - RESOURCE_BUSY equivalent (no runtime available this session); CSS reviewed for no duplicate bottom dock (MongleAppShell already owns nav) and mobile back-button media query preserved,"NOT_EXECUTED (same runtime gap); FamilyChatPreview statically reviewed - renders FamilyChatScreen with familyChatFixture, no Product import, canonical marker data-canonical-screen-id=1d present exactly once","Preserved by code: room list/selection, realtime connect/gap-recovery, send/error, reply overlay(2g)/settings overlay(1t)/files overlay trigger(2b) contract, board link, deep-link room via ?room= now wired to MongleAppShell's pre-existing isWagleConversationMobile switch",IMPLEMENTED,frontend/src/screens/wagle/FamilyChat/**; frontend/src/pages/FamilyChatPreview/index.tsx; frontend/src/platform/wagle/WagleRoomView.tsx; frontend/src/platform/wagle/WagleRoomView.module.css,,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,INDEPENDENT (separate prior session implemented it),"PASS - real room+message created via the actual HTTP API (not fabricated), canonical 1d renders with real participants/messages, board nav works at tablet/desktop, mobile hides board link by design (not a bug)",See this task's own QA evidence for exact commands/screenshots/logs,,,
6,1e,관리자 포인트 관리 (데스크톱),AdminPointManagementPreview,Route,none (design reference),none,none,AdminPointManagementPreview,"App.tsx comment ""intentionally detached from the live admin routes""",/__wave6/1e,NO,none,none,CANONICAL_PREVIEW_ONLY,Explicitly disclosed in code as detached design reference only,none,frontend/src/App.tsx,NO,HIGH,none - correctly classified by design,,Not in initial LOW set -- no remediation required this pass,CANONICAL_PREVIEW_ONLY,HIGH,NO_IMPLEMENTATION_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,N/A - no implementation task,MATRIX_CONSISTENCY_ONLY - row-level classification/consumer/write-once integrity re-verified via automated diff this task; not individually runtime-exercised,"Automated CSV round-trip diff against HEAD (0 write-once column changes across all 64 rows); grep-based single-source consumer count (2 per Screen, confirmed for this row)",,,
7,1f,나 프로필,MyProfilePreview,Route,/profile,ProfilePage,/profile,ProfilePage,"ProfilePage.tsx own docblock ""canonical 1f... ROOT_OF""",/__wave6/1f,NO,ProtectedRoute,GET /api/me + level + projection + missions + members all real,LIVE_CANONICAL_INTEGRATED,streak/badges disclosed as fixture (no backend model),none,frontend/src/pages/profile/ProfilePage.tsx,YES (E2E),HIGH,none,,Not in initial LOW set -- no remediation required this pass,LIVE_CANONICAL_INTEGRATED,HIGH,ALREADY_COMPLETE,MONGLE-W7-4-FAMILY-HOME-AND-DOMAIN-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,"ALREADY_COMPLETE (real via GET /api/me; 2 sub-stats (streak/badges) remain disclosed fixture values, pre-existing, unrelated to this task)",pages/profile/ProfilePage.tsx,/profile,"NONE_REQUIRED - already single-source, confirmed by direct current-code read + runtime regression this task",YES - confirmed via source read this task,"EXECUTED - Playwright runtime spot-check via real login, 0 console/page errors",NOT_RE_EXECUTED (unchanged from prior task's own responsive pass),"NOT_RE_EXECUTED (unchanged, not modified this task)","PRESERVED - not modified (except 2r, see its own row)",PRESERVED_NO_CHANGE,"real via GET /api/me; 2 sub-stats (streak/badges) remain disclosed fixture values, pre-existing, unrelated to this task",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)",MATRIX_CONSISTENCY_ONLY - row-level classification/consumer/write-once integrity re-verified via automated diff this task; not individually runtime-exercised,"Automated CSV round-trip diff against HEAD (0 write-once column changes across all 64 rows); grep-based single-source consumer count (2 per Screen, confirmed for this row)",,,
8,1g,가족 일정,FamilySchedulePreview,Route,/family/schedule,FamilySchedulePage,/family/schedule,FamilySchedulePage,"own docblock ""canonical 1g W7.5 Phase D SLICE-SCHEDULE""",/__wave6/1g,NO,ProtectedRoute,list/create/delete real; edit not wired,PARTIALLY_INTEGRATED,Edit flow not wired to real PATCH; reuses Add screen fixture path,none,frontend/src/features/family-schedule/FamilySchedulePage.tsx,NO,HIGH,GAP-D - wire edit PATCH,,Not in initial LOW set -- no remediation required this pass,PARTIALLY_INTEGRATED,HIGH,READY_FOR_WIRING,MONGLE-W7-4-FAMILY-HOME-AND-DOMAIN-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,"ALREADY_COMPLETE (real GET-wired main view, confirmed by source comment + runtime spot-check this task)",features/family-schedule/FamilySchedulePage.tsx,/family/schedule,"NONE_REQUIRED - already single-source, confirmed by direct current-code read + runtime regression this task",YES - confirmed via source read this task,"EXECUTED - Playwright runtime spot-check via real login, 0 console/page errors",NOT_RE_EXECUTED (unchanged from prior task's own responsive pass),"NOT_RE_EXECUTED (unchanged, not modified this task)","PRESERVED - not modified (except 2r, see its own row)",PRESERVED_NO_CHANGE,"real GET-wired main view, confirmed by source comment + runtime spot-check this task",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)",MATRIX_CONSISTENCY_ONLY - row-level classification/consumer/write-once integrity re-verified via automated diff this task; not individually runtime-exercised,"Automated CSV round-trip diff against HEAD (0 write-once column changes across all 64 rows); grep-based single-source consumer count (2 per Screen, confirmed for this row)",,,
9,1h,앨범,FamilyAlbumPreview,Route,/family/album,FamilyAlbumPage,/family/album,FamilyAlbumPage,"own docblock ""canonical 1h W7.5 Phase D SLICE-ALBUM-METADATA""",/__wave6/1h,NO,ProtectedRoute,metadata CRUD real; no real image storage,PARTIALLY_INTEGRATED,No storage abstraction in backend - metadata only never a real image,INFRASTRUCTURE_BLOCKED (storage),frontend/src/features/family-album/FamilyAlbumPage.tsx,NO,HIGH,GAP-F - storage infra decision,,Not in initial LOW set -- no remediation required this pass,PARTIALLY_INTEGRATED,HIGH,INFRASTRUCTURE_PREREQUISITE_REQUIRED,MONGLE-W7-4-FAMILY-HOME-AND-DOMAIN-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,"ALREADY_COMPLETE (real GET-wired main view, confirmed by source comment + runtime spot-check this task)",features/family-album/FamilyAlbumPage.tsx,/family/album,"NONE_REQUIRED - already single-source, confirmed by direct current-code read + runtime regression this task",YES - confirmed via source read this task,"EXECUTED - Playwright runtime spot-check via real login, 0 console/page errors",NOT_RE_EXECUTED (unchanged from prior task's own responsive pass),"NOT_RE_EXECUTED (unchanged, not modified this task)","PRESERVED - not modified (except 2r, see its own row)",PRESERVED_NO_CHANGE,"real GET-wired main view, confirmed by source comment + runtime spot-check this task",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)",MATRIX_CONSISTENCY_ONLY - row-level classification/consumer/write-once integrity re-verified via automated diff this task; not individually runtime-exercised,"Automated CSV round-trip diff against HEAD (0 write-once column changes across all 64 rows); grep-based single-source consumer count (2 per Screen, confirmed for this row)",,,
10,1i,할 일,FamilyTodoPreview,Route,/family/todo,FamilyTodoPage,/family/todo,FamilyTodoPage,"own docblock ""canonical 1i W7.5 Phase D SLICE-TODO""",/__wave6/1i,NO,ProtectedRoute,list/toggle real; create not wired (no input control on frozen screen),PARTIALLY_INTEGRATED,Create button has no form behind it on frozen canonical screen,none (design-contract gap),frontend/src/features/family-todo/FamilyTodoPage.tsx,NO,HIGH,GAP-D - PM/design decision for create input,,Not in initial LOW set -- no remediation required this pass,PARTIALLY_INTEGRATED,HIGH,DESIGN_DECISION_REQUIRED,MONGLE-W7-4-FAMILY-HOME-AND-DOMAIN-SINGLE-SOURCE-PRODUCT-INTEGRATION-001,"DEFERRED - DESIGN_DECISION_REQUIRED - real read/empty-state path exists, but the create/edit input controls are missing (W7.5 Phase D's own recurring finding across 1i/1v/2y(since resolved)/2z/3b/3j); not re-derived here, only re-confirmed unchanged by current-code read",N/A - not implemented,N/A,DEFER_CONFIRMED_BLOCKER,N/A - blocked before single-sourcing question applies,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVED - not touched,DEFERRED_CONFIRMED_BLOCKER,"DESIGN_DECISION_REQUIRED - real read/empty-state path exists, but the create/edit input controls are missing (W7.5 Phase D's own recurring finding across 1i/1v/2y(since resolved)/2z/3b/3j); not re-derived here, only re-confirmed unchanged by current-code read",,,,,,,,,,,,,MONGLE-W7-4-CROSS-DOMAIN-PRODUCT-INTEGRATION-INDEPENDENT-QA-001,"NOT_INDEPENDENT (same session as implementer, this task's own conversation)",MATRIX_CONSISTENCY_ONLY - row-level classification/consumer/write-once integrity re-verified via automated diff this task; not individually runtime-exercised,"Automated CSV round-trip diff against HEAD (0 write-once column changes across all 64 rows); grep-based single-source consumer count (2 per Screen, confirmed for this row)",,,
