test_file,test_title,route,viewport,fixture_or_real,auth,family_context,assertion,screenshot,console_error_check,storage,route_compatibility,loading_empty_error_state,screen_mapping,visual_reconstruction_impact
specs-mongle/01-shell.spec.ts,keeps the legacy dashboard inside the Mongle shell and allows a Family switch,/dashboard,5 projects(desktop 전용 assertion 일부 분기),실제 API(loginAsFirstPlayer가 /api/auth/login 호출),필요(로그인),필요(FamilySwitcher 조작),"mongle-shell testid 노출, 가족 옵션 수 확인, desktop에서만 미션관리 링크 노출 확인",only-on-failure(전역 설정),미확인(assert 없음),N/A,N/A,N/A,A2(Shell/Header) 간접 커버,재구성 시 FamilySwitcher/nav 마크업 변경되면 셀렉터 깨질 위험
specs-mongle/01-shell.spec.ts,presents Doran as an honest unavailable service entry point,/wagle,5 projects,"fixture(doranPreview*) 렌더만 검증, 서비스 status 판정은 실제 FamilyContext 기반",필요,필요,'와글와글' heading 노출만 확인,only-on-failure(전역 설정),미확인,N/A,N/A,disabled state 간접 커버,A4,낮음
specs-mongle/01-shell.spec.ts,renders the responsive navigation landmark,/wagle,5 projects,N/A,필요,불필요(nav 자체만),nav 랜드마크 정확히 1개 존재,only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A2 Dock/nav,낮음
specs-mongle/01-shell.spec.ts,does not turn a direct Family URL into a permission grant,/family,5 projects,N/A(legacy 로그인 API 직접 호출),필요(player 4),필요(권한 없음 케이스),'권한이 없어요' heading 확인,only-on-failure(전역 설정),미확인,N/A,N/A,AccessBoundary forbidden state,A2/family,권한 가드 로직 검증 — MUST_PRESERVE
specs-mongle/01-shell.spec.ts,renders the reviewed mapping-needed state without creating an Account,N/A(route intercept),5 projects,API mock(page.route 403 강제),필요,N/A,'계정 연결이 필요해요' 텍스트 확인,only-on-failure(전역 설정),미확인,N/A,N/A,mapping_required state,MongleAppShell state notice,낮음
specs-mongle/01-shell.spec.ts,shows a safe not-found page instead of a blank screen for an unregistered path,/this-path-does-not-exist,5 projects,N/A,불필요,불필요,404 heading+복귀링크 확인,only-on-failure(전역 설정),미확인,N/A,N/A,404 state,N/A(승인자료 대응 없음),낮음
specs-mongle/01-shell.spec.ts,"canonical /wagle and /family render directly, refresh preserved, no console error","/wagle,/family",5 projects,fixture(wagle)/실제(family),필요,필요,heading 확인 + reload 후 URL 유지 + console error 배열이 빈 배열임을 assert,only-on-failure(전역 설정),있음(핵심 assert),N/A,canonical route 자체,N/A,"A4,A2",라우트 변경 시 반드시 재검증
specs-mongle/01-shell.spec.ts,"internal Dock/nav clicks produce canonical URLs, never /naran/*",N/A,"5 projects(desktop 외 4개는 test.skip — 보고된 baseline의 '4 intentional skipped' 정확한 원인, 코드: test.skip(testInfo.project.name !== 'desktop', ...))",N/A,필요,필요,"nav 클릭 후 URL이 canonical(/wagle,/family)인지 확인",only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A2 Dock,Dock 마크업 변경 시 셀렉터 위험
specs-mongle/01-shell.spec.ts,"legacy /naran/doran and /naran/family redirect once, preserving query and hash, no Back-loop","/naran/doran,/naran/family",5 projects(뷰포트 폭 따라 assertion 분기 <701px vs >=701px),N/A,필요,필요,리다이렉트 target/query/hash 보존 + Back 1회 확인,only-on-failure(전역 설정),미확인,N/A,핵심 커버 대상,N/A,N/A,라우트 별칭 정책 자체 — MUST_PRESERVE
specs-mongle/01-shell.spec.ts,legacy routes do not fall through to the 404 catch-all,"/naran/doran,/naran/family",5 projects,N/A,필요,필요,404 heading이 뜨지 않음을 확인(부정 assert),only-on-failure(전역 설정),미확인,N/A,핵심 커버,N/A,N/A,낮음(회귀 방지용)
specs-mongle/01-shell.spec.ts,"canonical absent + valid legacy present: family preserved, canonical copy-forward occurs",N/A(localStorage 조작),5 projects,N/A,필요,필요,localStorage canonical/legacy 키 상태 직접 확인,only-on-failure(전역 설정),미확인,핵심 커버(storage migration),N/A,N/A,N/A,MUST_PRESERVE
specs-mongle/01-shell.spec.ts,"canonical present + legacy present with a different value: canonical wins, legacy not overwritten",N/A,5 projects,N/A,필요,필요,"canonical 값 우선, legacy 값 불변 확인",only-on-failure(전역 설정),미확인,핵심 커버,N/A,N/A,N/A,MUST_PRESERVE
specs-mongle/01-shell.spec.ts,"canonical absent + invalid/inaccessible legacy: no copy-forward, no silent auto-select",N/A,5 projects,N/A,필요,필요,잘못된 legacy 값으로 canonical 생성 안 됨 확인,only-on-failure(전역 설정),미확인,핵심 커버,N/A,가족 선택 필요 상태,N/A,MUST_PRESERVE
specs-mongle/01-shell.spec.ts,"explicit logout clears both canonical and legacy keys for that account, no resurrection on next login",N/A,5 projects,N/A,필요(로그아웃 포함),필요,로그아웃 후 두 키 모두 삭제 + 재로그인 시 재생성 안 됨 확인,only-on-failure(전역 설정),미확인,핵심 커버,N/A,N/A,N/A,MUST_PRESERVE
specs/01-login.spec.ts,캐릭터 선택 화면이 표시된다,/,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A1,"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/01-login.spec.ts,PIN 입력 후 대시보드로 이동,/,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A1,"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/02-mission.spec.ts,대시보드에서 미션 목록이 표시된다,/dashboard,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A3,"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/02-mission.spec.ts,미션 제안 버튼이 표시된다,/dashboard,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A3,"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/03-admin.spec.ts,관리자 로그인 버튼이 표시된다,/,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A1(관리자 진입부),"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/03-admin.spec.ts,관리자 ID/PW 폼이 표시된다,/,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A1-S1 유사,"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/03-admin.spec.ts,관리자 로그인 후 /admin으로 이동,/,"1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,A5,"CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/04-flow.spec.ts,플레이어 로그인 → 대시보드 → 로그아웃 → 홈 복귀,"/,/dashboard","1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,"A1,A3","CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
specs/04-flow.spec.ts,관리자 로그인 → /admin 접근 성공,"/,/admin","1 project(playwright.config.ts, projects 미정의)","실제 API(추정, 상세 미열람)",테스트별 상이(제목 참조),N/A(레거시 경로),상세 미열람(파일 존재 및 제목만 확인),only-on-failure(전역 설정),미확인,N/A,N/A,N/A,"A1,A5","CURRENT_TEMPORARY: playwright.config.ts의 webServer가 docker-compose.phase0.yml을 참조하나 저장소에 해당 파일이 없음(ls로 확인, No such file or directory) — 이 config로는 현재 환경에서 실행 불가. 테스트 코드 자체는 유효하나 실행 가능성은 phase0 스택 복원 여부에 달려 있음(NOT_VERIFIED as currently-passing)"
