screen_id,source_file,source_fragment,viewport,page_title,route_estimated,visible_zones,primary_cta,navigation,header,footer_dock,modal_dialog,loading_empty_error,responsive_variant,approval_confidence,missing_state,source_conflict,pm_decision_required
A1,standalone-src.html,"id=""1a""","480x920 (mockup canvas, not a real device size)",로그인 / 프로필 선택,NOT_VERIFIED (no route encoded in static mockup),StatusBarMock; BrandHero(logo+title+subtitle); ProfileSelectorCard(list of 3 PlayerCard); AdminEntryRow; HomeIndicatorBar,프로필 카드 선택(›),없음(단일 화면),가짜 iOS 상태바(9:41/신호/배터리),"없음(Dock 아님, 관리자 로그인 링크 행)",없음,"지호 카드=잠김 상태(5회 실패, 5분 후 재시도) 예시만 존재. loading/empty 상태 이미지 없음","단일 480px 목업만 존재, 반응형 변형 없음",HIGH(PNG 근거 있음: screen_login_approved.png),세로 태블릿/데스크톱 변형 없음,see TIER1_HTML_VISUAL_DELTA A1: aspect ratio delta,로고 히어로 확대 비율(HTML 210px vs PNG 비율상 더 큼)
A1-S1,standalone-src.html,"id=""1a-1""",480x921 (mockup canvas),순수 로그인 (아이디 / 비밀번호),NOT_VERIFIED,"StatusBarMock; BrandHero(작은 로고 150px); LoginForm(아이디 입력, 비밀번호 입력+에러, 로그인상태유지 체크, 로그인 버튼, 구분선, 프로필선택으로 돌아가기, 안내 배너); FooterRow(버전+관리자로그인)",로그인 버튼(단색 pill),프로필 선택으로 돌아가기 버튼,가짜 iOS 상태바,버전 표시 + 관리자 로그인 링크,,비밀번호 오류 상태 1건 예시(2/5 실패 카운터) 존재. 성공/로딩 상태 없음,단일 480px 목업만 존재,"MEDIUM(전용 approved PNG 없음, screen_login_approved.png는 A1과 공유 추정)",전용 PNG 없음(SOURCE_MISSING),없음(PNG 자체가 없어 비교 불가),"이 ID/PW 로그인 폼이 현재 player-select+PIN 플로우와 별도 경로로 유지되는지, 아니면 관리자 로그인(AdminLoginView)과 통합되는지"
A2,standalone-src.html,"id=""1b""",480x806 (mockup canvas),가족 홈,"NOT_VERIFIED(추정 성격: '/', '/family', 또는 신규 홈. 승인자료에 문자열 route 없음)","StatusBarMock; GreetingHeader(avatar+인사말+알림벨); ChatPromoHeroCard(그라디언트, 로고워터마크, 말풍선점, CTA); RecentActivityCard(3행 타임라인); ServiceGrid(2x2: 포인트잔치/가족일정(준비중)/앨범(준비중)/할일(준비중)); BottomDock(4탭: 홈/포인트잔치/대화/나); HomeIndicatorBar",가족 대화 히어로 카드 '바로가기',BottomDock 4탭(홈/포인트잔치/대화/나),인사말 헤더(아바타+이름+알림),"4탭 BottomDock, 활성탭=홈(보라색)",없음,상태 변형 없음(항상 데이터 있는 happy-path만),단일 480px 목업만 존재,HIGH(PNG 근거: screen_family_home_approved.png),loading/empty 홈 상태 없음; 데스크톱 홈 레이아웃 없음,TIER1 delta 참조(아바타/그라디언트 톤),ServiceGrid 4개 중 3개 '준비중' 배지 항목(가족일정/앨범/할일)의 실제 구현 순서 및 BottomDock에 없는 이유
A3,standalone-src.html,"id=""1c""",480x1005 (mockup canvas),포인트 잔치,"NOT_VERIFIED(추정: /dashboard 계열, 현재 legacy UserDashboard와 명칭 일치)",StatusBarMock; PageHeader(로고+타이틀+로그아웃pill); ProfileSummaryCard(아바타+레벨+진행바+3분할 통계); WeekDateStrip(7일 캘린더); FamilyCheerCard(2개 응원 메시지); TodayMissionListCard(4개 미션 행: 완료/진행중/승인대기/사용내역); BottomDock,미션 행의 '바로가기',BottomDock(활성=포인트잔치),로고+타이틀+로그아웃,4탭 BottomDock,없음,미션 상태 4종(완료/진행중 3-5/승인대기 0-1/차감내역) happy-path 예시만. empty/error 없음,단일 480px,HIGH(PNG: screen_point_festival_approved.png),"레벨업 애니메이션, 빈 미션 리스트 상태 없음",TIER1 delta 참조,"현재 UserDashboard(레거시)와 이 승인 화면의 시각적 재구성 범위(레벨/미션/응원 로직은 MUST_PRESERVE, 시각은 재구성 후보)"
A4,standalone-src.html,"id=""1d""",480x935 (mockup canvas),가족 대화(GROUP 단일 룸),NOT_VERIFIED(현재 canonical: /wagle),"StatusBarMock; ChatHeader(뒤로가기+룸명+참여인원+아바타스택+로고); MessageTimeline(날짜구분선, 수신/발신 말풍선, unread구분선, 앨범공유 시스템카드, 사진첨부 3장 썸네일); Composer(첨부+카메라+입력+전송원형버튼); BottomDock",Composer 전송 버튼,"뒤로가기(←), BottomDock(활성=대화)",ChatHeader(룸명+참여자),4탭 BottomDock + 그 위 Composer,없음,'여기부터 안 읽음' 구분선 예시 1건. Room List 자체가 없음(단일 룸 진입 상태만 존재),"단일 480px, 데스크톱/Room List 변형 없음(SOURCE_MISSING)",HIGH(PNG: screen_family_chat_approved.png),"Room List 화면, DIRECT/SERVICE 룸 승인 화면 없음(APPROVED_SOURCE_GAP)",TIER1 delta 참조,승인자료에 없는 Room List·DIRECT·SERVICE 화면을 현재 구현(fixture 3-kind 지원)이 어느 범위까지 승인 근거로 확장 적용할지
A5,standalone-src.html,"id=""1e""",1440x1030 (데스크톱 전용 목업),관리자 · 포인트 관리,NOT_VERIFIED(현재 canonical: /admin/points),AdminSidebar(로고+가족명+6항목 nav+계정푸터); MainHeader(타이틀+날짜필터+차감추가버튼); PlayerFilterTabs(전체/서연/민준); StatCardRow(3장: 서연보유/민준보유/오늘총차감); DeductionDataTable(6열 헤더+5행+페이지네이션); InfoBanner,＋차감 추가 버튼,AdminSidebar 6항목(포인트관리 활성),AdminSidebar+MainHeader,없음(데스크톱 사이드바 구조),"행 편집(✎)/삭제(🗑) 아이콘만 존재, 다이얼로그 자체 이미지 없음(SOURCE_MISSING)",happy-path 5행 예시만. loading/empty/error 상태 없음,"데스크톱 1440px 전용, 모바일 admin 변형 없음(SOURCE_MISSING)","HIGH(PNG: screen_admin_point_approved.png, 최고 일치도)",차감 추가/편집 모달 화면 없음; 미션관리/사용자관리/알림관리/설정 등 나머지 5개 사이드바 화면 없음(APPROVED_SOURCE_GAP),TIER1 delta 참조(가장 낮은 delta),사이드바 6항목 중 5개(대시보드/미션관리/사용자관리/알림관리/설정) 승인 화면 부재를 어떻게 처리할지
EXTRA-01,standalone-src.html,"id=""1f""",480x951,나 · 프로필,NOT_VERIFIED,ProfileHeaderCard; LevelProgressCard; ActivityListCard(3행); SettingsListCard(3행: 알림설정 토글/PIN변경/가족구성원); LogoutButton; BottomDock(활성=나),프로필 수정 pill,BottomDock(활성=나),타이틀 '나' + 설정/알림 아이콘,4탭 BottomDock,없음,happy-path만,단일 480px,"LOW(전용 approved PNG 없음, SOURCE_MISSING)",전용 PNG 없음,없음(비교 불가),A1~A5 범위 밖 화면이므로 이번 Wave 구현 우선순위에 포함할지
EXTRA-02,standalone-src.html,"id=""1g""",480x980,가족 일정(준비중 서비스 상세 목업),NOT_VERIFIED,"NOT_FULLY_READ(시간 예산상 표제/구조만 확인, 세부 zone 미세 분해는 生략 — see 주의사항)",NOT_VERIFIED,BottomDock 추정,StatusBarMock 확인됨,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,단일 480px,LOW(SOURCE_MISSING: 전용 PNG 없음),"세부 zone 분해 NOT_VERIFIED(effort 배분상 A1~A5 우선, EXTRA는 표제 수준만 확인)",없음,"EXTRA 화면 4종(1f~1i)에 대한 세밀 실측이 이번 Wave에 필요한지, 필요 시 후속 Task로 분리할지"
EXTRA-03,standalone-src.html,"id=""1h""",480x1296,앨범(준비중 서비스 상세 목업),NOT_VERIFIED,NOT_FULLY_READ(표제만 확인),NOT_VERIFIED,BottomDock 추정,StatusBarMock 확인됨,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,단일 480px,LOW(SOURCE_MISSING: 전용 PNG 없음),세부 zone 분해 NOT_VERIFIED,없음,EXTRA-02와 동일
EXTRA-04,standalone-src.html,"id=""1i""",480x975,할 일(준비중 서비스 상세 목업),NOT_VERIFIED,"NOT_FULLY_READ(표제만 확인, BottomDock 확인됨: 활성=홈으로 표시되어 있어 실제로는 독립 탭이 아닌 홈에서 진입하는 화면으로 추정)",NOT_VERIFIED,BottomDock(활성=홈으로 렌더됨 — 이 자체가 흥미로운 구조적 단서),StatusBarMock 확인됨,4탭 BottomDock 확인(활성=홈),NOT_VERIFIED,NOT_VERIFIED,단일 480px,LOW(SOURCE_MISSING: 전용 PNG 없음),세부 zone 분해 NOT_VERIFIED,없음,EXTRA-02와 동일
