SOURCE_ORDER,CANONICAL_ID,SCREEN_LABEL,OWNER_AGGREGATE,EXISTING_PRODUCT_VIEW,EXISTING_FUNCTIONAL_LOGIC,CANONICAL_SOURCE,MAPPING_STATUS,INTEGRATION_STRATEGY,INTEGRATION_TYPE,PARENT_CANONICAL_ID,PARENT_PRODUCT_SURFACE,PRODUCT_ROUTE,PRODUCT_TRIGGER,PRODUCT_CONTAINER,PRODUCT_SHELL,CANONICAL_SINGLE_SOURCE_STATUS,EXISTING_BEHAVIOR_PRESERVATION,DATA_WIRING_STATUS,MUTATION_WIRING_STATUS,PRODUCT_ENTRY_TEST_STATUS,RESPONSIVE_SHELL_STATUS,DETACHED_PREVIEW_STATUS,FINAL_PRODUCT_STRUCTURE_STATUS,NOTES
1,1a,로그인,AUTH_FLOW,frontend/src/pages/Auth/components/PlayerSelectView.tsx,"real player list, real click-to-select, real API-backed",ProfileSelectorPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,AUTH_FLOW_STEP,,,/,AuthPage mode='select' (default) - LIVE,frontend/src/pages/Auth/index.tsx,"none (pre-shell, public)",NOT_UNIFIED_BY_DESIGN (real Auth component is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED (untouched),ALREADY_WIRED (real),ALREADY_WIRED (real),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: PlayerSelectView is the real, functional entry step. The prior ""1a vs 1a-1 relationship needs PM confirmation"" flag (Ownership Matrix PM_DECISION_REQUIRED=YES) is a product-ownership question about which of two existing implementations is canonical for 1a - not a structural-integration blocker. Both already have real product homes (1a=/  select-mode, 1a-1=/login); this pass did not force a merger or pick a winner."
2,1a-1,로그인 폼,AUTH_FLOW,frontend/src/pages/A1AccountLogin/index.tsx,"NONE (UI-only reconstruction, no API/session wiring - by prior explicit decision, not touched this task)",A1AccountLoginPage,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,ALREADY_PRODUCT_BOUND,,,/login,"/login route - LIVE (route exists, unauthenticated)",frontend/src/pages/A1AccountLogin/index.tsx,"none (pre-shell, public)",NOT_UNIFIED_BY_DESIGN (real Auth component is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED (untouched),"DATA_AND_BEHAVIOR_WIRING_PENDING (by prior explicit ""1a-1 special rule"" - never touched)",MUTATION_WIRING_PENDING,DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Already has a dedicated real product route (/login) since before this task; left untouched per the established ""1a-1 special rule"". Structure is bound (real route, real component); data/session wiring is explicitly deferred, not silently claimed complete."
3,1b,홈,FAMILY_CONTEXT,frontend/src/platform/pages/FamilyLanding.tsx,"subscription gating, multi-family switcher, permissions display (real API via useFamilyContextStore)",FamilyHomePreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,ALREADY_PRODUCT_BOUND,,,/family,MongleAppShell nav (가족) — LIVE,frontend/src/platform/pages/FamilyLanding.tsx,MongleAppShell,NOT_UNIFIED_BY_DESIGN (existing view is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED,ALREADY_WIRED (real),ALREADY_WIRED (real),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: FamilyLanding is real/backend-integrated and structurally distinct from 1b's static mockup (service-picker vs photo/activity-feed home) — no equivalent business logic in the canonical Screen. Canonical single-source NOT attempted: forcing a merge would require inventing subscription/switcher/permission UI inside the W7.3-frozen Screen, which is a design decision outside this task's structural-integration scope, not a mechanical wiring gap. Route registered and verified this task; FamilyLanding's own presentation kept unchanged."
4,1c,포인트 잔치,USER_DASHBOARD,frontend/src/platform/markpoint/MarkpointUser.tsx (MarkpointUserPage),"balance vs lifetime-EXP distinction, deduction history, mission submission (real API)",PointFestivalPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,ALREADY_PRODUCT_BOUND,,,/markpoint,MongleAppShell nav (마크포인트) — LIVE,frontend/src/platform/markpoint/MarkpointUser.tsx (MarkpointUserPage),MongleAppShell,NOT_UNIFIED_BY_DESIGN (existing view is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED,ALREADY_WIRED (real),ALREADY_WIRED (real),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,KEEP_EXISTING_AS_CANONICAL: MarkpointUserPage already existed as a full AccessBoundary-gated real route entry point. Same no-merge reasoning as 1b — balance/EXP distinction has no canonical-mockup equivalent. Route registered and verified this task.
5,1d,대화,WAGLE,frontend/src/platform/wagle/WagleRoomView.tsx,"realtime chat client, message dedup/gap-recovery, room list (real API)",FamilyChatPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,ALREADY_PRODUCT_BOUND,,,/wagle,MongleAppShell nav (와글와글) — LIVE,frontend/src/platform/wagle/WagleRoomView.tsx,MongleAppShell,NOT_UNIFIED_BY_DESIGN (existing view is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED,ALREADY_WIRED (real),ALREADY_WIRED (real),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: WagleRoomView is structurally comparable to canonical 1d (header+participants, bubble thread, composer) but far more functionally complete (realtime, dedup, gap-recovery) — reskinning to the static mockup would risk regressing tested behavior for cosmetic parity. e2e specs-mongle/01-shell.spec.ts + 02-wagle-realtime.spec.ts already assert this route contract. Route registered and verified this task (could not run e2e live — no backend in this environment)."
6,1e,관리자 포인트 관리,ADMIN_DASHBOARD,frontend/src/pages/AdminDashboard/views/PointView/,real point/balance list + deduction API,AdminPointManagementPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,ALREADY_PRODUCT_BOUND,,AdminDashboard,/admin (nested),AdminDashboard Sidebar/MobileDrawer nav - LIVE (pre-existing),frontend/src/pages/AdminDashboard/views/PointView/,MongleAppShell > AdminLayout,NOT_UNIFIED_BY_DESIGN (real admin view is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only - same reasoning as 1b/1c/1d),EXISTING_DATA_BEHAVIOR_PRESERVED (untouched),ALREADY_WIRED (real),ALREADY_WIRED (real),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: real AdminDashboard component (frontend/src/pages/AdminDashboard/views/PointView/) already provides equivalent functionality independently of the W7.3 canonical mockup track, with real backend logic the mockup does not represent. Same no-reskin reasoning as 1b/1c/1d."
7,1f,나 프로필,FAMILY_CONTEXT,NONE (frontend/src/pages/profile/ was an empty scaffold),NONE,MyProfilePreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,ROUTE_PAGE,,,/profile,Account-name link in MongleAppShell header (previously plain text) - LIVE,frontend/src/pages/profile/ProfilePage.tsx,MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING (no current-player profile API wired),MUTATION_WIRING_PENDING (no profile/notification/language/theme/account-deletion API),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Extracted screens/family/MyProfile/MyProfileScreen.tsx from inline MyProfilePreview. New /profile route; new real trigger added to MongleAppShell header (was a plain, unlinked <span>)."
8,1g,가족 일정,FAMILY_CONTEXT,NONE (empty scaffold),NONE,FamilySchedulePreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,NESTED_ROUTE,1b,FamilyLanding (1b),/family/schedule,'가족 일정' link in FamilyLanding (1b) '가족 기능' section - LIVE,frontend/src/features/family-schedule/FamilySchedulePage.tsx (view state),MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING (no schedule/album/todo API),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/family/FamilySchedule/FamilyScheduleScreen.tsx from inline FamilySchedulePreview. New /family/schedule route; new real trigger added to FamilyLanding.
9,1h,앨범,FAMILY_CONTEXT,NONE (empty scaffold),NONE,FamilyAlbumPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,NESTED_ROUTE,1b,FamilyLanding (1b),/family/album,'앨범' link in FamilyLanding (1b) '가족 기능' section - LIVE,frontend/src/features/family-album/FamilyAlbumPage.tsx (view state),MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING (no schedule/album/todo API),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/family/FamilyAlbum/FamilyAlbumScreen.tsx from inline FamilyAlbumPreview. New /family/album route; new real trigger added to FamilyLanding.
10,1i,할 일,FAMILY_CONTEXT,NONE (empty scaffold),NONE,FamilyTodoPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,ROUTE_PAGE,1b,FamilyLanding (1b),/family/todo,'할 일' link in FamilyLanding (1b) '가족 기능' section - LIVE,frontend/src/features/family-todo/FamilyTodoPage.tsx,MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING (real local toggle state; no todo API),"MUTATION_WIRING_PENDING (real local status toggle only, no backend save)",DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/family/FamilyTodo/FamilyTodoScreen.tsx from inline FamilyTodoPreview. New /family/todo route with real local toggle state.
