SOURCE_ORDER,SOURCE_FILE,SOURCE_SHA256,VIEWPORT_FAMILY,WRAPPER_ID,CANONICAL_ID,SCREEN_LABEL,REMOVED,HIDDEN,DUPLICATE_ID_GROUP,AUTHORITY_CONFLICT,RESPONSIVE_PAIR_ID,SOURCE_ROLE,REACT_SOURCE_PATH,CANONICAL_MARKER_FOUND,PREVIEW_ROUTE,ACTIVE_PRODUCT_ROUTE_CANDIDATE,IMPLEMENTATION_STATUS,EVIDENCE,NOTES
1,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1a,1a,로그인,FALSE,FALSE,,FALSE,pair-1a,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#1,
2,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1a-1,1a-1,로그인 폼,FALSE,FALSE,,FALSE,pair-1a-1,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/A1AccountLogin/index.tsx,TRUE,,/login,REACT_CANONICAL_CONFIRMED,wrapper#2,
3,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1b,1b,홈,FALSE,FALSE,,FALSE,pair-1b,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilyHomePreview/index.tsx,TRUE,/__wave6/1b,,REACT_CANONICAL_CONFIRMED,wrapper#3,
4,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1c,1c,포인트 잔치,FALSE,FALSE,,FALSE,pair-1c,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/PointFestivalPreview/index.tsx,TRUE,/__wave6/1c,,REACT_CANONICAL_CONFIRMED,wrapper#4,
5,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1d,1d,대화,FALSE,FALSE,,FALSE,pair-1d,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilyChatPreview/index.tsx,TRUE,/__wave6/1d,,REACT_CANONICAL_CONFIRMED,wrapper#5,
6,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,1e,1e,관리자 포인트 관리,FALSE,FALSE,,FALSE,pair-1e,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/AdminPointManagementPreview/index.tsx,TRUE,/__wave6/1e,,REACT_CANONICAL_CONFIRMED,wrapper#6,
7,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1f,1f,나 프로필,FALSE,FALSE,,FALSE,pair-1f,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/MyProfilePreview/index.tsx,TRUE,/__wave6/1f,,REACT_CANONICAL_CONFIRMED,wrapper#7,
8,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1g,1g,가족 일정,FALSE,FALSE,,FALSE,pair-1g,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilySchedulePreview/index.tsx,TRUE,/__wave6/1g,,REACT_CANONICAL_CONFIRMED,wrapper#8,
9,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1h,1h,앨범,FALSE,FALSE,,FALSE,pair-1h,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilyAlbumPreview/index.tsx,TRUE,/__wave6/1h,,REACT_CANONICAL_CONFIRMED,wrapper#9,
10,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1i,1i,할 일,FALSE,FALSE,,FALSE,pair-1i,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilyTodoPreview/index.tsx,TRUE,/__wave6/1i,,REACT_CANONICAL_CONFIRMED,wrapper#10,
